code,term
0201010AA,Digoxin antibody
0201010AAAA,Digoxin antibody
0201010AAAAAAAA,Digoxin-specific antibody fragments 38mg inf vials
0201010AAAAABAB,Digoxin-specific antibody fragments 40mg inf vials
0201010AABB,Digibind
0201010AABBAAAA,Digibind 38mg powder for solution for injection vials
0201010AABC,DigiFab
0201010AABCAAAB,DigiFab 40mg powder for solution for infusion vials
0201010F0,Digoxin
0201010F0AA,Digoxin
0201010F0AAAAAA,Digoxin 50micrograms/ml oral solution
0201010F0AAACAC,Digoxin 500micrograms/2ml solution for infusion ampoules
0201010F0AAADAD,Digoxin 62.5microgram tablets
0201010F0AAAEAE,Digoxin 125microgram tablets
0201010F0AAAFAF,Digoxin 250microgram tablets
0201010F0AAANAN,Digoxin 125micrograms/5ml oral liquid
0201010F0AAAPAP,Digoxin 250micrograms/5ml oral liquid
0201010F0AAAQAQ,Digoxin 75micrograms/5ml oral liquid
0201010F0AAARAR,Digoxin 100micrograms/1ml solution for injection ampoules
0201010F0BB,Lanoxin
0201010F0BBAAAE,Lanoxin 125 tablets
0201010F0BBABAF,Lanoxin 250microgram tablets
0201010F0BBACAC,Lanoxin 500micrograms/2ml solution for infusion ampoules
0201010F0BBADAD,Lanoxin PG 62.5microgram tablets
0201010F0BBAEAA,Lanoxin PG 50micrograms/ml elixir
0201010F0BBAGAR,Lanoxin Injection Pediatric 100micrograms/1ml inj ampoules
0201010F0BE,Digamex
0201010F0BEAAAD,Digamex 62.5microgram tablets
0201010F0BEABAE,Digamex 125microgram tablets
0201010F0BEACAF,Digamex 250microgram tablets
0203,Anti-arrhythmic drugs
020302,Drugs for arrhythmias
0203020,Drugs for arrhythmias
0203020C0,Adenosine
0203020C0AA,Adenosine
0203020C0AAAAAA,Adenosine 6mg/2ml solution for injection vials
0203020C0AAABAB,Adenosine 30mg/10ml solution for infusion vials
0203020C0BB,Adenocor
0203020C0BBAAAA,Adenocor 6mg/2ml solution for injection vials
0203020C0BC,Adenoscan
0203020C0BCAAAB,Adenoscan 30mg/10ml solution for infusion vials
0203020D0,Amiodarone hydrochloride
0203020D0AA,Amiodarone hydrochloride
0203020D0AAAAAA,Amiodarone 100mg tablets
0203020D0AAABAB,Amiodarone 200mg tablets
0203020D0AAADAD,Amiodarone 150mg/3ml solution for injection ampoules
0203020D0AAAUAU,Amiodarone 100mg/5ml oral solution
0203020D0AAAVAV,Amiodarone 200mg/5ml oral liquid
0203020D0AAAWAW,Amiodarone 25mg/5ml oral liquid
0203020D0AAAXAX,Amiodarone 125mg/5ml oral liquid
0203020D0AAAYAY,Amiodarone 50mg/5ml oral solution
0203020D0AAAZAZ,Amiodarone 30mg/5ml oral liquid
0203020D0AABDBD,Amiodarone 15mg/5ml oral liquid
0203020D0AABEBE,Amiodarone 250mg/5ml oral liquid
0203020D0AABFBF,Amiodarone 5mg/5ml oral liquid
0203020D0AABGBG,Amiodarone 10mg/5ml oral liquid
0203020D0AABHBH,Amiodarone 500mg/5ml oral liquid
0203020D0AABIBI,Amiodarone 45mg/5ml oral liquid
0203020D0AABJBJ,Amiodarone 75mg/5ml oral liquid
0203020D0AABKBK,Amiodarone 20mg/5ml oral liquid
0203020D0AABLBL,Amiodarone 150mg/5ml oral liquid
0203020D0AABQBQ,Amiodarone 80mg/5ml oral liquid
0203020D0AABRBR,Amiodarone 65mg/5ml oral liquid
0203020D0AABSBS,Amiodarone 35mg/5ml oral liquid
0203020D0AABVBV,Amiodarone 300mg/10ml inj pre-filled syringes
0203020D0AABYBY,Amiodarone 22mg/5ml oral liquid
0203020D0AACACA,Amiodarone 155mg/5ml oral liquid
0203020D0AACDCD,Amiodarone 85mg/5ml oral liquid
0203020D0AACECE,Amiodarone 60mg/5ml oral liquid
0203020D0AACFCF,Amiodarone 31.25mg/5ml oral liquid
0203020D0AACGCG,Amiodarone 55mg oral powder sachets
0203020D0AACHCH,Amiodarone 100mg/5ml oral suspension
0203020D0AACICI,Amiodarone 50mg/5ml oral suspension
0203020D0AACJCJ,MDR BNF code - DO NOT USE
0203020D0BB,Cordarone X
0203020D0BBAAAA,Cordarone X 100 tablets
0203020D0BBABAB,Cordarone X 200 tablets
0203020D0BBACAD,Cordarone X 150mg/3ml solution for injection ampoules
0203020D0BE,Darmil
0203020D0BEAAAA,Darmil 100mg tablets
0203020D0BEABAB,Darmil 200mg tablets
0203020D0BF,Amyben
0203020D0BFAAAA,Amyben 100mg tablets
0203020D0BFABAB,Amyben 200mg tablets
0203020D0BG,Minjet (Amiodarone hydrochloride)
0203020D0BGAABV,Amiodarone 300mg/10ml inj Minijet pre-filled syringes
0203020E0,Bretylium tosilate
0203020E0AA,Bretylium tosilate
0203020E0AAAAAA,Bretylium tosilate 100mg/2ml solution for injection ampoules
0203020E0AAABAB,Bretylium tosilate 500mg/10ml inj pre-filled syringes
0203020E0AAACAC,Bretylium tosilate 500mg/10ml inj ampoules
0203020E0BB,Bretylate
0203020E0BBAAAA,Bretylate 100mg/2ml solution for injection ampoules
0203020E0BBABAC,Bretylate 500mg/10ml solution for injection ampoules
0203020E0BC,Minjet bretylium tosilate
0203020E0BCAAAB,Bretylium tosilate 500mg/10ml inj Minijet pfs
0203020F0,Disopyramide
0203020F0AA,Disopyramide
0203020F0AAABAB,Disopyramide 100mg capsules
0203020F0AAACAC,Disopyramide 150mg capsules
0203020F0AAAPAP,Disopyramide 25mg capsules
0203020F0AAARAR,Disopyramide 50mg/5ml oral liquid
0203020F0AAASAS,Disopyramide 16mg/5ml oral liquid
0203020F0AAAVAV,Disopyramide 100mg/5ml oral liquid
0203020F0AAAWAW,Disopyramide 20mg/5ml oral liquid
0203020F0AAAXAX,Disopyramide 25mg/5ml oral liquid
0203020F0AAAYAY,MDR BNF code - DO NOT USE
0203020F0BC,Rythmodan (Capsule)
0203020F0BCAAAB,Rythmodan 100mg capsules
0203020F0BCABAC,Rythmodan 150mg capsules
0203020F0BCACAB,Rythmodan 100mg capsules (Imported Canada)
0203020G0,Disopyramide phosphate
0203020G0AA,Disopyramide phosphate
0203020G0AAABAB,Disopyramide 250mg modified-release capsules
0203020G0AAACAC,Disopyramide 250mg modified-release tablets
0203020G0AAAEAE,Disopyramide 150mg modified-release tablets
0203020G0AAAFAF,Disopyramide 50mg/5ml solution for injection ampoules
0203020G0BB,Isomide CR
0203020G0BBAAAB,Isomide CR 250mg capsules
0203020G0BC,Dirythmin
0203020G0BCABAE,Dirythmin SA 150mg tablets
0203020G0BD,Rythmodan (Injection/Tablet)
0203020G0BDAAAF,Rythmodan 50mg/5ml solution for injection ampoules
0203020G0BDABAC,Rythmodan Retard 250mg tablets
0203020I0,Flecainide acetate
0203020I0AA,Flecainide acetate
0203020I0AAAAAA,Flecainide 150mg/15ml solution for injection ampoules
0203020I0AAADAD,Flecainide 100mg tablets
0203020I0AAAKAK,Flecainide 50mg tablets
0203020I0AAANAN,Flecainide 12mg/5ml oral liquid
0203020I0AAAPAP,Flecainide 18.75mg/5ml oral liquid
0203020I0AAAQAQ,Flecainide 50mg/5ml oral liquid
0203020I0AAARAR,Flecainide 5mg/5ml oral liquid
0203020I0AAASAS,Flecainide 15mg/5ml oral liquid
0203020I0AAATAT,Flecainide 17mg/5ml oral liquid
0203020I0AAAUAU,Flecainide 33.33mg/5ml oral liquid
0203020I0AAAVAV,MDR BNF code - DO NOT USE
0203020I0AAAWAW,Flecainide 20mg/5ml oral liquid
0203020I0AAAXAX,Flecainide 200mg/5ml oral liquid
0203020I0AAAYAY,Flecainide 2.5mg/5ml oral liquid
0203020I0AAAZAZ,Flecainide 100mg/5ml oral liquid
0203020I0AABABA,Flecainide 30mg/5ml oral liquid
0203020I0AABBBB,Flecainide 125mg/5ml oral liquid
0203020I0AABCBC,Flecainide 40mg/5ml oral liquid
0203020I0AABDBD,Flecainide 6mg/5ml oral liquid
0203020I0AABEBE,Flecainide 80mg/5ml oral liquid
0203020I0AABGBG,Flecainide 65mg/5ml oral liquid
0203020I0AABHBH,Flecainide 37.5mg/5ml oral liquid
0203020I0AABIBI,Flecainide 10mg/5ml oral solution
0203020I0AABJBJ,Flecainide 60mg/5ml oral liquid
0203020I0AABKBK,Flecainide 35mg/5ml oral liquid
0203020I0AABLBL,Flecainide 250mg/5ml oral liquid
0203020I0AABMBM,Flecainide 12.5mg/5ml oral liquid
0203020I0AABNBN,Flecainide 1mg/5ml oral liquid
0203020I0AABPBP,Flecainide 4mg/5ml oral liquid
0203020I0AABQBQ,Flecainide 200mg modified-release capsules
0203020I0AABRBR,Flecainide 25mg/5ml oral solution
0203020I0AABSBS,Flecainide 25mg/5ml oral suspension
0203020I0AABTBT,Flecainide 10mg/5ml oral suspension
0203020I0BB,Tambocor
0203020I0BBAAAD,Tambocor 100mg tablets
0203020I0BBABAA,Tambocor 150mg/15ml solution for injection ampoules
0203020I0BBACAK,Tambocor 50mg tablets
0203020I0BBADBQ,Tambocor XL 200mg capsules
0203020L0,Lidocaine hydrochloride
0203020L0AA,Lidocaine hydrochloride (Ventricular Arrhythmias)
0203020L0AAABAB,Lidocaine 100mg/10ml (1%) inj pre-filled syringes
0203020L0AAACAC,Lidocaine 100mg/5ml (2%) injection pre-filled syringes
0203020L0AAAEAE,Glucose 5% / Lidocaine 1g/500ml (0.2%) infusion 500ml
0203020L0AAAGAG,Glucose 5% / Lidocaine 2g/500ml (0.4%) infusion 500ml bags
0203020L0BB,Minjet lidocaine
0203020L0BBABAC,Lidocaine 100mg/5ml (2%) inj Minijet pre-filled syringes
0203020L0BBACAB,Lidocaine 100mg/10ml (1%) inj Minijet pre-filled syringes
0203020L0BD,Steriflex (Arrhythmias)
0203020L0BDAAAE,Steriflex No.26 glucose 5%/lidocaine 1g/500ml inf 500ml bags
0203020L0BDABAG,Steriflex No.27 glucose 5%/lidocaine 2g/500ml inf 500ml bags
0203020L0BE,Polyfusor lidocaine hydrochloride/glucose
0203020L0BEAAAE,Polyfusor LE glucose 5%/lidocaine 1g/500ml (0.2%) inf 500ml
0203020P0,Mexiletine hydrochloride
0203020P0AA,Mexiletine hydrochloride
0203020P0AAAAAA,Mexiletine 50mg capsules
0203020P0AAABAB,Mexiletine hydrochloride 200mg capsules
0203020P0AAACAC,Mexiletine 250mg/10ml solution for injection ampoules
0203020P0AAADAD,Mexiletine 360mg modified-release capsules
0203020P0AAAEAE,Mexiletine 200mg/5ml oral solution
0203020P0AAAFAF,Mexiletine 10mg/5ml oral solution
0203020P0AAAGAG,Mexiletine 200mg tablets
0203020P0AAAHAH,Mexiletine 25mg capsules
0203020P0AAAIAI,Mexiletine 100mg capsules
0203020P0AAAJAJ,Mexiletine 50mg/5ml oral suspension
0203020P0AAAKAK,Mexiletine 50mg/5ml oral solution
0203020P0AAALAL,Mexiletine 37.5mg/5ml oral solution
0203020P0AAAMAM,Mexiletine 100mg tablets
0203020P0AAANAN,Mexiletine hydrochloride 200mg (Mexiletine 167mg) capsules
0203020P0BB,Mexitil
0203020P0BBAAAA,Mexitil 50mg capsules
0203020P0BBABAB,Mexitil 200mg capsules
0203020P0BBADAC,Mexitil 250mg/10ml solution for injection ampoules
0203020P0BBAEAD,Mexitil PL Perlongets 360mg capsules
0203020P0BC,Namuscla
0203020P0BCAAAN,Namuscla 167mg capsules
0203020P0BD,Ritalmex
0203020P0BDAAAN,Ritalmex 200mg capsules
0203020R0,Propafenone hydrochloride
0203020R0AA,Propafenone hydrochloride
0203020R0AAAAAA,Propafenone 150mg tablets
0203020R0AAABAB,Propafenone 300mg tablets
0203020R0AAAEAE,Propafenone 50mg/5ml oral liquid
0203020R0AAAFAF,Propafenone 150mg/5ml oral liquid
0203020R0AAAGAG,MDR BNF code - DO NOT USE
0203020R0BC,Arythmol
0203020R0BCAAAA,Arythmol 150mg tablets
0203020R0BCABAB,Arythmol 300mg tablets
0203020S0,Procainamide hydrochloride
0203020S0AA,Procainamide hydrochloride
0203020S0AAAAAA,Procainamide 1g/10ml solution for injection vials
0203020S0AAAEAE,Procainamide 250mg capsules
0203020S0BC,Pronestyl
0203020S0BCABAA,Pronestyl 1g/10ml solution for injection vials
0203020T0,Quinidine bisulfate
0203020T0AA,Quinidine bisulfate
0203020T0AAABAB,Quinidine bisulfate 250mg modified-release tablets
0203020T0AAACAC,MDR BNF code - DO NOT USE
0203020T0AAADAD,MDR BNF code - DO NOT USE
0203020T0AAAEAE,MDR BNF code - DO NOT USE
0203020T0BC,Kinidin Durule
0203020T0BCAAAB,Kinidin 250mg Durules
0203020U0,Quinidine sulfate
0203020U0AA,Quinidine sulf
0203020U0AAAGAG,Quinidine sulfate 200mg tablets
0203020X0,Dronedarone hydrochloride
0203020X0AA,Dronedarone hydrochloride
0203020X0AAAAAA,Dronedarone 400mg tablets
0203020X0BB,Multaq
0203020X0BBAAAA,Multaq 400mg tablets
020400040,Co-tenidone (Atenolol/chlortalidone)
020400040AA,Co-tenidone
020400040AAAAAA,Co-tenidone 50mg/12.5mg tablets
020400040AAABAB,Co-tenidone 100mg/25mg tablets
020400040AAACAC,Co-tenidone 100mg/25mg/5ml oral liquid
020400040BB,Tenoret
020400040BBAAAA,Tenoret 50mg/12.5mg tablets
020400040BC,Tenoretic
020400040BCAAAB,Tenoretic 100mg/25mg tablets
020400040BD,Atenix Co
020400040BDAAAA,Atenix Co 50 tablets
020400040BDABAB,Atenix Co 100 tablets
020400040BE,Tenchlor
020400040BEAAAA,Tenchlor 50mg/12.5mg tablets
020400040BEABAB,Tenchlor 100mg/25mg tablets
020400090,Bisoprolol fumarate with diuretic
020400090AA,Generic tablet
020400090AAAAAA,Bisoprolol 10mg / Hydrochlorothiazide 6.25mg tablets
020400090BB,Monozide 10
020400090BBAAAA,Monozide 10 tablets
0204000A0,Atenolol with thiazides
0204000A0AA,Atenolol/bendroflumethiazide
0204000A0AAAAAA,Atenolol 25mg / Bendroflumethiazide 1.25mg capsules
0204000A0BB,Tenben
0204000A0BBAAAA,Tenben 25mg/1.25mg capsules
0204000AC,Bisoprolol fumarate/aspirin
0204000ACAA,Bisoprolol fumarate/aspirin
0204000ACAAAAAA,Bisoprolol 5mg / Aspirin 75mg capsules
0204000ACAAABAB,Bisoprolol 10mg / Aspirin 75mg capsules
0204000ACAAACAC,Bisoprolol 10mg / Aspirin 100mg capsules
0204000ACAAADAD,Bisoprolol 5mg / Aspirin 100mg capsules
0204000E0,Atenolol
0204000E0AA,Atenolol
0204000E0AAAAAA,Atenolol 25mg/5ml oral solution sugar free
0204000E0AAABAB,Atenolol 50mg tablets
0204000E0AAACAC,Atenolol 100mg tablets
0204000E0AAADAD,Atenolol 5mg/10ml solution for injection ampoules
0204000E0AAAGAG,Atenolol 25mg tablets
0204000E0AAAMAM,Atenolol 3.125mg/5ml oral liquid
0204000E0AAANAN,Atenolol 25mg/5ml oral liquid
0204000E0AAAPAP,Atenolol 3mg/5ml oral liquid
0204000E0AAAQAQ,Atenolol 12.5mg/5ml oral liquid
0204000E0AAARAR,Atenolol 50mg/5ml oral liquid
0204000E0AAASAS,Atenolol 10mg/5ml oral liquid
