code,term
1010405004,Paroxysmal atrial fibrillation with rapid ventricular response
1032701000000106,Chronic atrial fibrillation
1032711000000108,Chronic atrial fibrillation 
1066831000000104,Atrial fibrillation detected
120041000119109,Atrial fibrillation with rapid ventricular response
129032061000119103,Hypercoagulable state due to atrial fibrillation
138790004,H/O: atrial fibrillation
142049000,ECG: atrial fibrillation
155364009,(Atrial fibrillation) or (atrial flutter)
161521008,H/O: atrial fibrillation
164889003,Electrocardiographic atrial fibrillation
175146007,Implantation of intravenous pacemaker for atrial fibrillation
195080001,Atrial fibrillation and flutter
195081002,Paroxysmal atrial fibrillation
195082009,Atrial fibrillation and flutter NOS
196371000000102,Atrial fibrillation resolved
217661000000104,Atrial fibrillation resolved
217671000000106,Atrial fibrillation resolved
233910005,Lone atrial fibrillation
233911009,Non-rheumatic atrial fibrillation
266306001,(Atrial fibrillation) or (atrial flutter)
280797561000119107,Permanent atrial fibrillation due to heart valve disorder
282825002,Paroxysmal atrial fibrillation
300996004,Controlled atrial fibrillation
312442005,History of atrial fibrillation
313377641000119105,Atrial fibrillation due to heart valve disorder
314208002,Rapid atrial fibrillation
341561000000106,Persistent atrial fibrillation
341571000000104,Permanent atrial fibrillation
368881000000100,Permanent atrial fibrillation 
368891000000103,Persistent atrial fibrillation 
41241000000105,Non-rheumatic atrial fibrillation
426749004,Chronic atrial fibrillation
426814001,Transient cerebral ischemia due to atrial fibrillation
429211003,Maze procedure for atrial fibrillation
440028005,Permanent atrial fibrillation
440059007,Persistent atrial fibrillation
44021000000105,Non-rheumatic atrial fibrillation
467643831000119105,Paroxysmal atrial fibrillation due to heart valve disorder
489609371000119104,Persistent atrial fibrillation due to heart valve disorder
49436004,Atrial fibrillation
608471000000109,Atrial fibrillation and flutter NOS
706923002,Longstanding persistent atrial fibrillation
715395008,Familial atrial fibrillation
762247006,Preexcited atrial fibrillation
78591000000108,Non-rheumatic atrial fibrillation
81216002,Atrial flutter-fibrillation
83371000000102,Non-rheumatic atrial fibrillation
847611000000104,Atrial fibrillation care pathway
847621000000105,Following atrial fibrillation care pathway protocol 
