code,term
I24,Other acute ischaemic heart diseases
I240,Coronary thrombosis not resulting in myocardial infarction
I241,Dressler syndrome
I248,Other forms of acute ischaemic heart disease
I249,"Acute ischaemic heart disease, unspecified"
I25,Chronic ischaemic heart disease
I250,"Atherosclerotic cardiovascular disease, so described"
I251,Atherosclerotic heart disease
I252,Old myocardial infarction
I253,Aneurysm of heart
I254,Coronary artery aneurysm and dissection
I255,Ischaemic cardiomyopathy
I256,Silent myocardial ischaemia
I258,Other forms of chronic ischaemic heart disease
I259,"Chronic ischaemic heart disease, unspecified"
