code,term
10273003,Acute infarction of papillary muscle
1089431000000107,Postoperative nontransmural myocardial infarction
1089441000000103,Postoperative transmural myocardial infarction
1089451000000100,Acute nontransmural myocardial infarction
1089471000000109,Acute transmural myocardial infarction
10971000087107,Myocardial ischemia during surgery
1163440003,Postoperative acute myocardial infarction
1204151009,Acute inferior non-ST segment elevation myocardial infarction of right ventricle
1204152002,Acute inferior non-ST segment elevation myocardial infarction
1204154001,Acute anterior non-ST segment elevation myocardial infarction with right ventricular involvement
1204155000,Acute anterior non-ST segment elevation myocardial infarction
1204222000,Acute non-ST segment elevation myocardial infarction of right ventricle
1208872002,Subsequent anterior non-ST segment elevation myocardial infarction
1208873007,Subsequent inferior non-ST segment elevation myocardial infarction
12238111000119106,Acute ST segment elevation myocardial infarction of inferolateral wall
12238151000119107,Acute ST segment elevation myocardial infarction of inferoposterior wall
129574000,Postoperative myocardial infarction
137675006,No FH: Ischaemic heart disease
137754009,FH: Ischaemic heart disease at less than 60 years
137755005,FH: Ischaemic heart disease at greater than 60 years
137757002,FH: ischaemic heart disease (& [myocardial infarction] or [coronary thrombosis])
138788000,H/O: Treatment for ischaemic heart disease
155303000,Ischaemic heart disease
155305007,Acute/subacute ischaemic heart disease NOS
155315001,Heart disease: [arteriosclerotic] or [chronic ischaemic NOS]
155318004,Chronic ischaemic heart disease NOS
155322009,Ischaemic heart disease NOS
15712841000119100,Acute ST segment elevation myocardial infarction of posterolateral wall
15712881000119105,Acute ST segment elevation myocardial infarction of anterolateral wall
15712921000119103,Acute ST segment elevation myocardial infarction of lateral wall
15712961000119108,Acute ST segment elevation myocardial infarction of anteroseptal wall
15713001000119100,Acute ST segment elevation myocardial infarction of atrium
15713041000119103,Acute ST segment elevation myocardial infarction of posterior wall
15713081000119108,Acute ST segment elevation myocardial infarction due to left coronary artery occlusion
15713121000119105,Acute ST segment elevation myocardial infarction due to right coronary artery occlusion
15713161000119100,Acute ST segment elevation myocardial infarction of septum
15713201000119105,Acute ST segment elevation myocardial infarction of posterobasal wall
15960061000119102,Unstable angina co-occurrent and due to coronary arteriosclerosis
15960101000119104,Angina due to coronary arteriosclerosis in artery of transplanted heart
15960141000119102,Angina co-occurrent and due to coronary arteriosclerosis
15960341000119104,Unstable angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart
15960381000119109,Angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
15960461000119105,Unstable angina due to arteriosclerosis of autologous arterial coronary artery bypass graft
15960541000119107,Unstable angina due to arteriosclerosis of autologous vein coronary artery bypass graft
15960581000119102,Angina co-occurrent and due to arteriosclerosis of autologous vein coronary artery bypass graft
15960661000119107,Unstable angina co-occurrent and due to arteriosclerosis of coronary artery bypass graft
15960701000119100,Angina due to arteriosclerosis of coronary artery bypass graft of transplanted heart
15960741000119103,Preinfarction syndrome due to arteriosclerosis of nonautologous biological coronary artery bypass graft
15960861000119108,Preinfarction syndrome due to coronary arteriosclerosis in artery of transplanted heart
15990001,Acute myocardial infarction of posterolateral wall
160272009,No FH: Ischaemic heart disease (& [angina])
160358003,FH: Ischaemic heart disease <60 (& [myocardial infarction] or [angina])
160359006,FH: Ischaemic heart disease >60 (& [myocardial infarction] or [angina])
