code,term
100161000000107,Sitting diastolic blood pressure
100181000000103,Lying diastolic blood pressure
1091811000000102,Diastolic arterial pressure
1162735000,Self reported diastolic blood pressure
163031004,On examination - Diastolic blood pressure reading
174255007,Non-invasive diastolic arterial pressure
198091000000104,Ambulatory diastolic blood pressure
213051000000103,Ambulatory diastolic blood pressure
213061000000100,Ambulatory diastolic blood pressure
23154005,Increased diastolic arterial pressure
271650006,Diastolic blood pressure
314451001,Minimum diastolic blood pressure
314453003,Average diastolic blood pressure
314454009,Minimum day interval diastolic blood pressure
314455005,Minimum night interval diastolic blood pressure
314456006,Minimum 24 hour diastolic blood pressure
314460009,Average night interval diastolic blood pressure
314461008,Average day interval diastolic blood pressure
314462001,Average 24 hour diastolic blood pressure
314465004,24 hour diastolic blood pressure
400975005,Standing diastolic blood pressure
407555005,Sitting diastolic blood pressure
407557002,Lying diastolic blood pressure
413605002,Average home diastolic blood pressure
42689008,Decreased diastolic arterial pressure
49844009,Abnormal diastolic arterial pressure
53813002,Normal diastolic arterial pressure
67726005,Diastolic arterial pressure
716632005,Baseline diastolic blood pressure
75141000000102,Standing diastolic blood pressure
79411000000108,Standing diastolic blood pressure
945851000000103,Baseline diastolic blood pressure
945861000000100,Baseline diastolic blood pressure 
95291000000106,Sitting diastolic blood pressure
95311000000107,Lying diastolic blood pressure
