code,term
105526001,Homeless family
1077211000000104,Referred by homeless drop-in centre
1091381000000101,Referral to homeless advocacy service
1091461000000102,Referral to homeless advocacy service declined
1095491000000105,Provision of community outreach care for homeless
1104581000000103,Signposting to homeless support service
1303097003,Coordination of resources to address homelessness
160700001,Homeless single person
160703004,Vagrant
224226001,No fixed abode
224228000,Living rough
224229008,Sleeping out
224231004,Sleeping in night shelter
224232006,Sleeping at friends home
224233001,Sleeping in vehicle
266935003,Housing lack
266940006,Lives in squat
32911000,Homeless
365510008,Finding of temporary shelter arrangements
381751000000106,Sofa surfer - person of no fixed abode
390818002,Homeless mental health care
702526004,Under care of homeless advocacy service
