code,term
103981000119101,Proliferative retinopathy following surgery due to diabetes mellitus
104031000000108,Secondary pancreatic diabetes mellitus
105401000119101,Diabetes mellitus due to pancreatic injury
106281000119103,Pre-existing diabetes mellitus in mother complicating childbirth
1102351000000105,Ketosis-prone diabetes mellitus
111307005,Leprechaunism syndrome
111552007,Diabetes mellitus without complication
111556005,Ketoacidosis without coma due to diabetes mellitus
112991000000101,Lipoatrophic diabetes mellitus without complication
1142044000,Pre-existing malnutrition-related diabetes mellitus in pregnancy
1144894004,Peripheral autonomic neuropathy due to diabetes mellitus
11530004,Brittle diabetes mellitus
1172389004,Disorder due to malnutrition related diabetes mellitus
1217044000,Ketosis-resistant diabetes mellitus
1217674007,Neurotrophic keratitis due to diabetes mellitus
122411000000108,Secondary pancreatic diabetes mellitus without complication
122481000000101,Fibrocalculous pancreatic diabetes
122961000000101,Secondary pancreatic diabetes mellitus without complication
1231625008,Tractional retinal detachment due to proliferative diabetic retinopathy
1231650006,Combined rhegmatogenous and tractional retinal detachment due to proliferative diabetic retinopathy
1231691008,Vitreous hemorrhage due to proliferative diabetic retinopathy
1231698002,Tractional retinal detachment with macula involvement due to proliferative diabetic retinopathy
123763000,Houssay's syndrome
1251386008,Disorder of skin due to diabetes mellitus
1259048007,Lesion of brachial plexus due to diabetes mellitus
126534007,Mixed sensorimotor polyneuropathy due to diabetes mellitus
126535008,Motor polyneuropathy due to diabetes mellitus
127011001,Sensory neuropathy due to diabetes mellitus
127012008,Lipoatrophic diabetes
127013003,Disorder of kidney due to diabetes mellitus
127014009,Peripheral angiopathy due to diabetes mellitus
1285518004,Wolfram syndrome type 1
1285519007,Wolfram syndrome type 2
138811000119100,Complication due to secondary diabetes mellitus
16890881000119106,History of proliferative retinopathy due to diabetes mellitus
170745003,Diabetic on diet only
170747006,Diabetic on insulin
170763003,Diabetic - good control
170766006,Loss of hypoglycemic warning due to diabetes mellitus
1771691000000102,Ulcer of foot due to diabetes mellitus in remission
1771701000000102,Ulcer of right foot due to diabetes mellitus in remission
1771711000000100,Ulcer of left foot due to diabetes mellitus in remission
190329007,Diabetes mellitus with hyperosmolar coma
190406000,Ketoacidosis due to malnutrition related diabetes mellitus
190407009,Malnutrition-related diabetes mellitus with renal complications
190410002,Malnutrition-related diabetes mellitus with peripheral circulatory complications
190411003,Multiple complications due to malnutrition related diabetes
190412005,Malnutrition-related diabetes mellitus without complications
190416008,Steroid-induced diabetes mellitus without complication
190447002,Steroid-induced diabetes
193141005,Mononeuritis multiplex due to diabetes mellitus
193183000,Acute painful neuropathy due to diabetes mellitus
193184006,Chronic painful neuropathy due to diabetes mellitus
193185007,Asymptomatic neuropathy due to diabetes mellitus
193349004,Preproliferative retinopathy due to diabetes mellitus
193350004,Advanced maculopathy due to diabetes mellitus
193489006,Iritis due to diabetes mellitus
19378003,Pseudotabes due to diabetes mellitus
197605007,Nephrotic syndrome due to diabetes mellitus
198121000000103,Hypoglycaemic warning impaired
198131000000101,Hypoglycaemic warning good
199231005,Pre-existing malnutrition-related diabetes mellitus
200687002,Cellulitis of foot due to diabetes mellitus
201250006,Ischemic ulcer of foot due to diabetes mellitus
201251005,Neuropathic ulcer of foot due to diabetes mellitus
201252003,Mixed diabetic ulcer - foot
201723002,Cheiroarthropathy due to diabetes mellitus
201724008,Neuropathic arthropathy due to diabetes mellitus
20678000,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND autoantibodies to the insulin receptors"
230572002,Neuropathy due to diabetes mellitus
230573007,Diabetic distal sensorimotor polyneuropathy
230574001,Acute painful polyneuropathy due to diabetes mellitus
230575000,Chronic painful polyneuropathy due to diabetes mellitus
230576004,Asymmetric polyneuropathy due to diabetes mellitus
230577008,Mononeuropathy due to diabetes mellitus
230578003,Diabetic truncal radiculopathy
230579006,Thoracic radiculopathy due to diabetes mellitus
232020009,Disorder of macula due to diabetes mellitus
232021008,Proliferative retinopathy with optic disc neovascularization due to diabetes mellitus
232022001,Proliferative retinopathy with neovascularization elsewhere than the optic disc due to diabetes mellitus
232023006,Traction detachment of retina due to diabetes mellitus
236499007,Microalbuminuric nephropathy due to diabetes mellitus
236500003,Proteinuric nephropathy due to diabetes mellitus
237600004,Malnutrition-related diabetes mellitus - fibrocalculous
237601000,Secondary endocrine diabetes mellitus
237604008,"Maturity onset diabetes of the young, type 2"
237608006,"Lipodystrophy, partial, with Rieger anomaly, short stature, and insulinopenic diabetes mellitus"
237610008,"Acrorenal field defect, ectodermal dysplasia, and lipoatrophic diabetes"
237611007,"Muscular atrophy, ataxia, retinitis pigmentosa, and diabetes mellitus"
237612000,"Photomyoclonus, diabetes mellitus, deafness, nephropathy and cerebral dysfunction"
237616002,"Hypogonadism, diabetes mellitus, alopecia, mental retardation and electrocardiographic abnormalities"
237617006,"Megaloblastic anemia, thiamine-responsive, with diabetes mellitus and sensorineural deafness"
237618001,Insulin-dependent diabetes mellitus secretory diarrhea syndrome
237619009,Maternally inherited diabetes and deafness
237620003,Abnormal metabolic state due to diabetes mellitus
237621004,Severe hyperglycemia due to diabetes mellitus
237622006,Poor glycemic control
237632004,Hypoglycemic event due to diabetes
237633009,Hypoglycemia due to diabetes mellitus
237635002,Nocturnal hypoglycemia due to diabetes mellitus
237650006,Insulin resistance in diabetes
238981002,Disorder of soft tissue due to diabetes mellitus
238982009,Dermopathy due to diabetes mellitus
238983004,Thick skin syndrome due to diabetes mellitus
238984005,Rubeosis faciei due to diabetes mellitus
24203005,"Extreme insulin resistance with acanthosis nigricans, hirsutism AND abnormal insulin receptors"
25093002,Disorder of eye due to diabetes mellitus
25412000,Microaneurysm of retinal artery due to diabetes mellitus
25907005,Diabetic gangrene
26298008,Ketoacidotic coma due to diabetes mellitus
267467004,Diabetes mellitus (& [ketoacidosis])
267471001,Diabetes + eye manifestation (& [cataract] or [retinopathy])
267604001,Myasthenic syndrome due to diabetes mellitus
268519009,Diabetic - poor control
2751001,Fibrocalculous pancreatic diabetes
280137006,Diabetic foot
28453007,Maturity onset diabetes mellitus in young
286451000000100,Cystic fibrosis related diabetes mellitus
292571000000107,Cystic fibrosis related diabetes mellitus
308105005,On examination-Right diabetic foot at risk
308106006,On examination-Left diabetic foot at risk
309426007,Glomerulopathy due to diabetes mellitus
310387003,Intracapillary glomerulosclerosis of kidney due to diabetes mellitus
310505005,Hyperosmolar non-ketotic state due to diabetes mellitus
311366001,Kimmelstiel-Wilson syndrome
311782002,Advanced retinal disease due to diabetes mellitus
312903003,Mild nonproliferative retinopathy due to diabetes mellitus
312904009,Moderate nonproliferative retinopathy due to diabetes mellitus
312905005,Severe nonproliferative retinopathy due to diabetes mellitus
312906006,Non-high-risk proliferative retinopathy due to diabetes mellitus
312907002,High risk proliferative retinopathy due to diabetes mellitus
312908007,Quiescent proliferative retinopathy due to diabetes mellitus
312909004,Proliferative retinopathy with iris neovascularization due to diabetes mellitus
312910009,Vitreous hemorrhage due to diabetes mellitus
312912001,Macular edema due to diabetes mellitus
314010006,Diffuse exudative maculopathy due to diabetes mellitus
314011005,Focal exudative maculopathy due to diabetes mellitus
314014002,Ischemic maculopathy due to diabetes mellitus
314015001,Mixed maculopathy due to diabetes mellitus
314537004,Optic papillopathy due to diabetes mellitus
33559001,Pineal hyperplasia AND diabetes mellitus syndrome
335621000000101,Maternally inherited diabetes mellitus
35777006,Mononeuropathy multiplex due to diabetes mellitus
359611005,Neuropathy with neurologic complication due to diabetes mellitus
361216007,Femoral mononeuropathy due to diabetes mellitus
367241000119104,Hyperosmolar coma due to drug induced diabetes mellitus
367261000119100,Hyperosmolarity due to drug induced diabetes mellitus
368141000119106,Autonomic neuropathy due to drug induced diabetes mellitus
368151000119108,Cataract due to drug induced diabetes mellitus
368171000119104,Dermatitis due to drug induced diabetes mellitus
368181000119101,Ulcer of foot due to drug induced diabetes mellitus
368201000119100,Disorder of kidney due to drug induced diabetes mellitus
368251000119101,Polyneuropathy due to drug induced diabetes mellitus
368421000119108,Chronic kidney disease stage 1 due to drug induced diabetes mellitus
368431000119106,Chronic kidney disease stage 2 due to drug induced diabetes mellitus
368441000119102,Chronic kidney disease stage 3 due to drug induced diabetes mellitus
368451000119100,Chronic kidney disease stage 4 due to drug induced diabetes mellitus
368461000119103,Chronic kidney disease stage 5 due to drug induced diabetes mellitus
368471000119109,End stage renal disease on dialysis due to drug induced diabetes mellitus
368601000119102,Hyperosmolar coma due to secondary diabetes mellitus
368711000119106,Mild nonproliferative retinopathy due to secondary diabetes mellitus
368721000119104,Non-proliferative retinopathy due to secondary diabetes mellitus
368741000119105,Moderate non-proliferative retinopathy due to secondary diabetes mellitus
371087003,Ulcer of foot due to diabetes mellitus
38046004,Diffuse glomerulosclerosis of kidney due to diabetes mellitus
38205001,Diarrhea due to diabetes mellitus
385041000000108,Diabetes mellitus with multiple complications
385051000000106,Pre-existing diabetes mellitus
39058009,Lumbosacral radiculoplexus neuropathy due to diabetes mellitus
390715006,Diabetes mellitus autosomal dominant
390834004,Nonproliferative retinopathy due to diabetes mellitus
39127005,Symmetric proximal motor neuropathy due to diabetes mellitus
39181008,Radiculoplexus neuropathy due to diabetes mellitus
398140007,Post hypoglycemic hyperglycemia due to diabetes mellitus
399862001,High risk proliferative retinopathy without macular edema due to diabetes mellitus
399863006,Very severe nonproliferative retinopathy without macular edema due to diabetes mellitus
399864000,Macular edema not clinically significant due to diabetes mellitus
399865004,Very severe proliferative retinopathy due to diabetes mellitus
399866003,Venous beading of retina due to diabetes mellitus
399868002,Intraretinal microvascular anomaly due to diabetes mellitus
399869005,High risk proliferative retinopathy not amenable to photocoagulation due to diabetes mellitus
399870006,Non-high-risk proliferative retinopathy with no macular edema due to diabetes mellitus
399871005,Visually threatening retinopathy due to diabetes mellitus
399872003,Severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
399873008,Severe nonproliferative retinopathy without macular edema due to diabetes mellitus
399874002,High risk proliferative retinopathy with clinically significant macula edema due to diabetes mellitus
399875001,Non-high-risk proliferative retinopathy with clinically significant macular edema due to diabetes mellitus
399876000,Very severe nonproliferative retinopathy due to diabetes mellitus
399877009,Very severe nonproliferative retinopathy with clinically significant macular edema due to diabetes mellitus
400971001,Maturity onset diabetes mellitus in young
402864004,Wet gangrene of foot due to diabetes mellitus
408409007,On examination - right eye background diabetic retinopathy
408410002,On examination - left eye background diabetic retinopathy
408411003,On examination - right eye preproliferative diabetic retinopathy
408412005,On examination - left eye preproliferative diabetic retinopathy
408413000,On examination - right eye proliferative diabetic retinopathy
408414006,On examination - left eye proliferative diabetic retinopathy
408415007,On examination - right eye diabetic maculopathy
408416008,On examination - left eye diabetic maculopathy
408540003,Diabetes mellitus caused by non-steroid drugs
408545008,Fibrocalculous pancreatic diabetes
413183008,Diabetes mellitus caused by non-steroid drugs without complication
414894003,On examination - left eye stable treated proliferative diabetic retinopathy
414910007,On examination - right eye stable treated proliferative diabetic retinopathy
417677008,On examination - sight threatening diabetic retinopathy
419100001,Infection of foot due to diabetes mellitus
420422005,Ketoacidosis due to diabetes mellitus
420662003,Coma due to diabetes mellitus
420683009,Disorder of nervous system due to malnutrition related diabetes mellitus
420996007,Coma due to malnutrition-related diabetes mellitus
421256007,Disorder of eye due to malnutrition related diabetes mellitus
421725003,Hypoglycemic coma due to diabetes mellitus
421895002,Peripheral vascular disorder due to diabetes mellitus
421966007,Non-ketotic non-hyperosmolar coma due to diabetes mellitus
422088007,Disorder of nervous system due to diabetes mellitus
422126006,Hyperosmolar coma due to diabetes mellitus
422183001,Skin ulcer due to diabetes mellitus
422275004,Gangrene due to diabetes mellitus
424736006,Peripheral neuropathy due to diabetes mellitus
425455002,Glomerulonephritis due to diabetes mellitus
426705001,Diabetes mellitus co-occurrent and due to cystic fibrosis
426875007,Latent autoimmune diabetes mellitus in adult
427089005,Diabetes mellitus due to cystic fibrosis
427943001,Ophthalmoplegia due to diabetes mellitus
42954008,Diabetes mellitus associated with receptor abnormality
43959009,Cataract of eye due to diabetes mellitus
441628001,Multiple complications due to diabetes mellitus
441656006,Hyperglycemic crisis due to diabetes mellitus
445170001,Macroalbuminuric nephropathy due to diabetes mellitus
445260006,Posttransplant diabetes mellitus
446641003,Renal cysts and diabetes syndrome
472972006,History of maturity onset diabetes mellitus in young
4855003,Retinopathy due to diabetes mellitus
48951005,Bullous disease due to diabetes mellitus
49455004,Polyneuropathy due to diabetes mellitus
50620007,Autonomic neuropathy due to diabetes mellitus
51002006,Diabetes mellitus associated with pancreatic disease
530558861000132104,Atypical diabetes mellitus
532411000000102,"Diabetes mellitus, adult onset, with no mention of complication"
5368009,Drug-induced diabetes mellitus
54181000,Diabetes-nephrosis syndrome
57886004,Protein-deficient diabetes mellitus
59079001,Diabetes mellitus associated with hormonal etiology
59276001,Proliferative retinopathy due to diabetes mellitus
5969009,Diabetes mellitus associated with genetic syndrome
609561005,Maturity-onset diabetes of the young
609562003,"Maturity onset diabetes of the young, type 1"
609563008,Pre-existing diabetes mellitus in pregnancy
609565001,Permanent neonatal diabetes mellitus
609568004,Diabetes mellitus due to genetic defect in beta cell function
609569007,Diabetes mellitus due to genetic defect in insulin action
609570008,"Maturity-onset diabetes of the young, type 3"
609571007,"Maturity-onset diabetes of the young, type 4"
609572000,"Maturity-onset diabetes of the young, type 5"
609573005,"Maturity-onset diabetes of the young, type 6"
609574004,"Maturity-onset diabetes of the young, type 7"
609575003,"Maturity-onset diabetes of the young, type 8"
609576002,"Maturity-onset diabetes of the young, type 9"
609577006,"Maturity-onset diabetes of the young, type 10"
609578001,"Maturity-onset diabetes of the young, type 11"
62260007,Pretibial pigmental patches due to diabetes mellitus
63510008,Nodular glomerulosclerosis of kidney due to diabetes mellitus
658011000000104,Diabetes mellitus with other specified manifestation
677741000119109,Non-diabetic proliferative retinopathy of bilateral eyes
703136005,Diabetes mellitus in remission
704241002,Fetal hypertrophic cardiomyopathy due to maternal diabetes mellitus
70694009,Wolfram syndrome
707221002,Glomerulosclerosis of kidney due to diabetes mellitus
709147009,Gingivitis co-occurrent with diabetes mellitus
713457002,Neovascular glaucoma due to diabetes mellitus
713704004,Gastroparesis due to diabetes mellitus
715439000,Familial partial lipodystrophy type 2
716362006,Gingival disease co-occurrent with diabetes mellitus
720519003,"Atherosclerosis, deafness, diabetes, epilepsy, nephropathy syndrome"
721973006,"Lipodystrophy, intellectual disability, deafness syndrome"
722206009,"Pancreatic hypoplasia, diabetes mellitus, congenital heart disease syndrome"
