code,term
1003949004,Ergopeptide
10282009,Betahistidine
10500003,Xanthinol
108402001,Product containing gabapentin
108469007,Pergolide mesilate
108524004,Product containing nisoldipine
108526002,Product containing nicardipine
108527006,Nicardipine hydrochloride
108530004,Product containing bepridil
108531000,Bepridil hydrochloride
108533002,Product containing isradipine
108535009,Product containing felodipine
108537001,Product containing amlodipine
108547003,Product containing bisoprolol
108557002,Doxazosin mesilate
108560009,Tamsulosin hydrochloride
108562001,Product containing trandolapril
108564000,Product containing ramipril
108566003,Product containing moexipril
108567007,Moexipril hydrochloride
108569005,Product containing fosinopril
108570006,Fosinopril sodium
108572003,Product containing benazepril
108573008,Benazepril hydrochloride
108575001,Product containing lisinopril
108578004,Product containing quinapril
108581009,Product containing valsartan
108582002,Losartan potassium
108585000,Product containing irbesartan
108587008,Product containing candesartan
108590002,Fenoldopam
108591003,Fenoldopam mesilate
108842003,Dapiprazole hydrochloride
111114001,Paspalum ergot alkaloid
111140007,Nylidrin
1119307002,Enalapril sodium
1119308007,Perindopril erbumine monohydrate
1137333005,Product containing precisely azilsartan medoxomil (as azilsartan medoxomil potassium) 40 milligram/1 each conventional release oral tablet
1137623008,Product containing precisely azilsartan medoxomil (as azilsartan medoxomil potassium) 80 milligram/1 each conventional release oral tablet
1141776000,Product containing amlodipine and perindopril
1141779007,Product containing only amlodipine and perindopril
1141780005,Product containing only amlodipine and perindopril in oral dose form
1141782002,Product containing amlodipine and perindopril in oral dose form
1141783007,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and perindopril arginine 5 milligram/1 each conventional release oral tablet
1141784001,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and perindopril arginine 5 milligram/1 each conventional release oral tablet
1141785000,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and perindopril arginine 10 milligram/1 each conventional release oral tablet
1141786004,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and perindopril arginine 10 milligram/1 each conventional release oral tablet
1145150000,Vericiguat
1145296002,Product containing precisely nimodipine 200 microgram/1 milliliter conventional release solution for injection
11473005,Trichlormethiazide
1149368003,Product containing precisely acebutolol (as acebutolol hydrochloride) 400 milligram/1 each conventional release oral capsule
1149399002,Product containing precisely aliskiren (as aliskiren fumarate) 300 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
1149400009,Product containing precisely aliskiren (as aliskiren fumarate) 150 milligram and hydrochlorothiazide 25 milligram/1 each conventional release oral tablet
1149401008,Product containing precisely aliskiren (as aliskiren fumarate) 150 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1149402001,Product containing precisely aliskiren (as aliskiren fumarate) 300 milligram and hydrochlorothiazide 12.5 milligram/1 each conventional release oral tablet
1149415005,Product containing precisely zofenopril calcium 7.5 milligram/1 each conventional release oral tablet
1149418007,Product containing precisely zofenopril calcium 30 milligram/1 each conventional release oral tablet
1149502004,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and telmisartan 40 milligram/1 each conventional release oral tablet
1149503009,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and telmisartan 80 milligram/1 each conventional release oral tablet
1149504003,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and telmisartan 40 milligram/1 each conventional release oral tablet
1149505002,Product containing precisely amlodipine (as amlodipine besilate) 10 milligram and telmisartan 80 milligram/1 each conventional release oral tablet
1149509008,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and benazepril hydrochloride 20 milligram/1 each conventional release oral capsule
1149511004,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and benazepril hydrochloride 40 milligram/1 each conventional release oral capsule
1149520008,Product containing precisely amlodipine (as amlodipine besilate) 5 milligram and benazepril hydrochloride 10 milligram/1 each conventional release oral capsule
