code,term
102577000,Trepopnea
1089971000000104,Extended Medical Research Council dyspnoea scale grade 1
1089981000000102,Extended Medical Research Council dyspnoea scale grade 2
1089991000000100,Extended Medical Research Council dyspnoea scale grade 3
1090001000000101,Extended Medical Research Council dyspnoea scale grade 5a
1090011000000104,Extended Medical Research Council dyspnoea scale grade 4
1090021000000105,Extended Medical Research Council dyspnoea scale grade 5b
1099371000000102,Modified Medical Research Council dyspnoea scale grade 0
1099381000000100,Modified Medical Research Council dyspnoea scale grade 1
1099391000000103,Modified Medical Research Council dyspnoea scale grade 2
1099401000000100,Modified Medical Research Council dyspnoea scale grade 3
1099411000000103,Modified Medical Research Council dyspnoea scale grade 4
1179627006,Neonatal respiratory distress
1179634008,Respiratory distress in early neonatal period
119981000146107,Dyspnea caused by severe acute respiratory syndrome coronavirus 2
1217110005,Dyspnea when bending forward
161939006,Dyspnea on moderate exertion
161940008,Dyspnea on mild exertion
161941007,Dyspnea at rest
162890008,On examination - dyspnea
162891007,On examination - orthopnea
17216000,"Dyspnea, class I"
230145002,Difficulty breathing
23141003,Gasping for breath
248548009,Nocturnal dyspnea
248549001,Labored breathing
248551002,Cannot blow
248552009,Winded
248581005,Rapid shallow breathing
24921003,Dyspnea raising arms
25209001,Inspiratory dyspnea
267036007,Dyspnea
271823003,Tachypnea
271825005,Respiratory distress
276531000,Avery's syndrome type 1
276532007,Avery's syndrome type 2
297216006,Increasing breathlessness
30744009,Platypnea
34560001,Expiratory dyspnea
371044001,Transient respiratory distress with sepsis
373895009,Acute respiratory distress
390870001,Dyspnea on dressing and undressing
390871002,Dyspnea on strenuous exertion
391120009,Medical Research Council Dyspnoea scale grade 1
391123006,Medical Research Council Dyspnoea scale grade 2
391124000,Medical Research Council Dyspnoea scale grade 3
391125004,Medical Research Council Dyspnoea scale grade 4
391126003,Medical Research Council Dyspnoea scale grade 5
397702004,Borg Breathlessness Score finding
39950000,"Dyspnea, class III"
401275008,Borg Breathlessness Score: 0 none at all
401279002,Borg Breathlessness Score: 1 very slight
401280004,Borg Breathlessness Score: 2 slight
401281000,Borg Breathlessness Score: 3 moderate
401282007,Borg Breathlessness Score: 4 somewhat severe
401284008,Borg Breathlessness Score: 5 severe
401286005,Borg Breathlessness Score: 6 severe (+)
401290007,Borg Breathlessness Score: 7 very severe
401291006,Borg Breathlessness Score: 8 very severe (+)
401292004,"Borg Breathlessness Score: 9 very, very severe (almost maximal)"
401293009,Borg Breathlessness Score: 10 maximal
401323002,"Borg Breathlessness Score: 0.5 very, very slight (just noticeable)"
407588003,Unable to complete a sentence in one breath
422177004,Dyspnea with acquired immunodeficiency syndrome
430390000,Sleep-related neurogenic tachypnea
46775006,Respiratory distress syndrome in the newborn
55442000,Paroxysmal nocturnal dyspnea
57769004,Dyspnea after eating
590365011000119106,Dyspnea due to and following transfusion
59265000,Paroxysmal dyspnea
60845006,Dyspnea on exertion
62744007,Orthopnea
702581006,Difficulty eating due to breathlessness
707540007,Acute respiratory distress in newborn
707541006,Acute respiratory distress in newborn with surfactant disorder
722911000,Respiratory instability of prematurity
72365000,"Dyspnea, class II"
73322006,"Dyspnea, class IV"
7550008,Transitory tachypnea of newborn
783182004,Chronic respiratory distress with surfactant metabolism deficiency
852051000000107,Minimal breathlessness
870535009,Chronic dyspnea
888131000000106,Breathlessness causing difficulty eating
888141000000102,Breathlessness causing difficulty eating 
