code,term
1217110005,Dyspnea when bending forward
161939006,Dyspnea on moderate exertion
161940008,Dyspnea on mild exertion
161941007,Dyspnea at rest
162890008,On examination - dyspnea
162891007,On examination - orthopnea
230145002,Difficulty breathing
248548009,Nocturnal dyspnea
248549001,Labored breathing
24921003,Dyspnea raising arms
267036007,Dyspnea
271823003,Tachypnea
297216006,Increasing breathlessness
390871002,Dyspnea on strenuous exertion
407588003,Unable to complete a sentence in one breath
55442000,Paroxysmal nocturnal dyspnea
59265000,Paroxysmal dyspnea
60845006,Dyspnea on exertion
62744007,Orthopnea
702535006,Anxiety about breathlessness
887741000000102,Anxiety about breathlessness
887751000000104,Anxiety about breathlessness 
888131000000106,Breathlessness causing difficulty eating
888141000000102,Breathlessness causing difficulty eating 
