code,term
139124002,"[Tiredness], [fatigue], [lethargy] or [malaise] symptom"
139126000,Fatigue
139127009,Tired all the time
139131003,Tiredness symptom NOS
157748000,Exhaustion due to excessive exertion
158169005,[D]Fatigue
161868006,"([Tiredness] or [fatigue] or [lethargy] or [malaise] symptom) or (C/O ""muzzy head"")"
161870002,Tired all the time (& [C/O -])
161875007,Tiredness symptom NOS
206767001,[D]Fatigue
206771003,[D]Tiredness
214264003,Lethargy
224960004,Tired
242015007,Exhaustion - physiological
248268002,Tires quickly
248269005,Tired on least exertion
248270006,Quickly exhausted
248271005,Exhausted on least exertion
248274002,Lack of energy
267031002,Tiredness symptom
267032009,Tired all the time
267160008,"[Tiredness], [fatigue], [lethargy] or [malaise] symptom"
272060000,Fatigue - symptom
272062008,"Complaining of ""tired all the time"""
302758002,Tiredness
314109004,Feeling tired
366947008,Exhaustion
367172001,Exhaustion
444042007,Excessive postexertional fatigue
495771000000107,[D]Fatigue
495801000000105,[D]Tiredness
580521000000101,Tiredness symptom NOS
60119000,Exhaustion
64113006,Exhaustion due to excessive exertion
713121000,Management of fatigue
84229001,Fatigue
84946008,Extreme exhaustion
