code,term
10091002,High output heart failure
101281000119107,Congestive heart failure due to cardiomyopathy
10335000,Chronic right-sided heart failure
10633002,Acute congestive heart failure
1064941000000106,Heart failure with reduced ejection fraction
106741000000105,New York Heart Association classification - class I
106751000000108,New York Heart Association classification - class II
1084871000000106,New York Heart Association Classification class
1085041000000109,"Assessment using congestive heart failure, hypertension, age 75 years or older, diabetes mellitus and previous stroke or transient ischaemic attack score"
1085111000000109,"Congestive heart failure, hypertension, age 75 years or older, diabetes mellitus and previous stroke or transient ischaemic attack score"
11016261000119104,Nutritional therapy for congestive heart failure done
1108711000000108,Excepted from heart failure quality indicators - service unavailable
1110931000000103,Quality and Outcomes Framework heart failure quality indicator-related care invitation
111283005,Chronic left-sided heart failure
11321000175108,Heart failure education declined
113901000052102,Heart failure following administration of antineoplastic agent
1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease
1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis
1204204003,Left ventricular failure with normal ejection fraction due to myocarditis
1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy
1204462004,Left ventricular failure with sepsis
1204468000,Right ventricular failure with sepsis
120851000119104,Systolic heart failure stage D
120861000119102,Systolic heart failure stage C
120871000119108,Systolic heart failure stage B
120881000119106,Diastolic heart failure stage D
1208843003,Right ventricular failure due to heart valve disorder
1208846006,Right ventricular failure due to disorder of lung
1208848007,Right ventricular failure due to disorder of pulmonary circulation
1208850004,Right ventricular failure due to right ventricular infarction
120891000119109,Diastolic heart failure stage C
120901000119108,Diastolic heart failure stage B
1264003007,Acute right ventricular failure following incision of heart
128404006,Right heart failure
1287376009,Minnesota Living with Heart Failure Questionnaire
1296659009,Acute exacerbation of chronic heart failure
134378009,Congestive heart failure monitoring
134401001,Left ventricular systolic dysfunction
134434004,New York Heart Assoc classification heart failure symptoms
134440006,Referral to heart failure clinic
13839000,Bernheim's syndrome
138777006,H/O: heart failure
138789008,H/O: Heart failure in last year
143411000000100,Quality and Outcomes Framework heart failure quality indicator-related care invitation using preferred method of communication
153931000119109,Acute combined systolic and diastolic heart failure
153941000119100,Chronic combined systolic and diastolic heart failure
153951000119103,Acute on chronic combined systolic and diastolic heart failure
155374007,Heart failure
155375008,(Congestive cardiac failure) or (dropsy) or (cardiac insufficiency) or (right heart failure) or (right ventricular failure)
155377000,Heart failure NOS
15629541000119106,Congestive heart failure stage C due to ischemic cardiomyopathy
15629591000119103,Congestive heart failure stage B due to ischemic cardiomyopathy
15629641000119107,Systolic heart failure stage B due to ischemic cardiomyopathy
15629741000119102,Systolic heart failure stage C due to ischemic cardiomyopathy
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure
15964661000119102,Acute cor pulmonale due to septic pulmonary embolism
15964701000119109,Acute cor pulmonale co-occurrent and due to saddle embolus of pulmonary artery
161505003,History of heart failure
161520009,H/O: Heart failure in last year
16253001,Dilated peripartum cardiomyopathy
16838951000119100,Acute on chronic right-sided congestive heart failure
188151000000107,Admit heart failure emergency
188171000000103,Referral to heart failure nurse
188661000000101,Seen in heart failure clinic
188711000000109,Seen by community heart failure nurse
191651000000108,Admit heart failure emergency
191671000000104,Referral to heart failure nurse
192161000000108,Seen in heart failure clinic
192211000000103,Seen by community heart failure nurse
194767001,Benign hypertensive heart disease with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
