code,term
10091002,High output heart failure
101281000119107,Congestive heart failure due to cardiomyopathy
10335000,Chronic right-sided heart failure
10633002,Acute congestive heart failure
1064941000000106,Heart failure with reduced ejection fraction
11016261000119104,Nutritional therapy for congestive heart failure done
1108711000000108,Excepted from heart failure quality indicators - service unavailable
111000119104,Nonischemic congestive cardiomyopathy
11104006,Dilated cardiomyopathy due to phytanic acid storage disease
111283005,Chronic left-sided heart failure
111285003,Dilated cardiomyopathy due to metabolic disorder
113901000052102,Heart failure following administration of antineoplastic agent
1149109001,Dilated cardiomyopathy due to electrolyte imbalance
1153452008,Dilated cardiomyopathy due to parasitic myocarditis
1177176009,Intermediate epidermolysis bullosa simplex with cardiomyopathy
1179293006,Erythrokeratodermia cardiomyopathy syndrome
1204200007,Left ventricular failure with normal ejection fraction due to valvular heart disease
1204203009,Left ventricular failure with normal ejection fraction due to coronary arteriosclerosis
1204204003,Left ventricular failure with normal ejection fraction due to myocarditis
1204206001,Left ventricular failure with normal ejection fraction due to cardiomyopathy
1204462004,Left ventricular failure with sepsis
120851000119104,Systolic heart failure stage D
120861000119102,Systolic heart failure stage C
120871000119108,Systolic heart failure stage B
120881000119106,Diastolic heart failure stage D
1208846006,Right ventricular failure due to disorder of lung
1208848007,Right ventricular failure due to disorder of pulmonary circulation
120891000119109,Diastolic heart failure stage C
120901000119108,Diastolic heart failure stage B
1234750000,Dilated cardiomyopathy caused by ethanol
12563008,Dilated cardiomyopathy caused by radiation
1264404009,Dilated cardiomyopathy due to scleroderma
128404006,Right heart failure
1287376009,Minnesota Living with Heart Failure Questionnaire
1296659009,Acute exacerbation of chronic heart failure
134378009,Congestive heart failure monitoring
134434004,New York Heart Assoc classification heart failure symptoms
138777006,H/O: heart failure
138789008,H/O: Heart failure in last year
153931000119109,Acute combined systolic and diastolic heart failure
153941000119100,Chronic combined systolic and diastolic heart failure
153951000119103,Acute on chronic combined systolic and diastolic heart failure
155374007,Heart failure
155376009,Left ventricular failure
155377000,Heart failure NOS
15629541000119106,Congestive heart failure stage C due to ischemic cardiomyopathy
15629591000119103,Congestive heart failure stage B due to ischemic cardiomyopathy
15629641000119107,Systolic heart failure stage B due to ischemic cardiomyopathy
15629741000119102,Systolic heart failure stage C due to ischemic cardiomyopathy
15781000119107,Hypertensive heart AND chronic kidney disease with congestive heart failure
161505003,History of heart failure
161520009,H/O: Heart failure in last year
16253001,Dilated peripartum cardiomyopathy
165468981000119105,Toxic dilated cardiomyopathy
16838951000119100,Acute on chronic right-sided congestive heart failure
188151000000107,Admit heart failure emergency
191651000000108,Admit heart failure emergency
194753005,Rheumatic left ventricular failure
194763002,Malignant hypertensive heart disease with congestive cardiac failure
194767001,Benign hypertensive heart disease with congestive cardiac failure
194771003,Hypertensive heart disease NOS with congestive cardiac failure
194779001,Hypertensive heart and renal disease with (congestive) heart failure
194781004,Hypertensive heart and renal disease with both (congestive) heart failure and renal failure
195018001,(Congestive obstructive) or (congestive cardiomyopathy)
195021004,Primary dilated cardiomyopathy
195035002,Secondary cardiomyopathy: [dilated] or [NOS]
195108009,Heart failure: [right] or [congestive]
195109001,Acute congestive heart failure
195110006,Chronic congestive heart failure
195111005,Decompensated cardiac failure
195112003,Compensated cardiac failure
195113008,(Left ventricular: [failure] or [impaired function]) or (cardiac asthma) or (acute pulmonary oedema)
195114002,Acute left ventricular failure
195116000,Acute heart failure
195117009,Heart: [weak] or [failure NOS]
