code,term
10093311000001103,Apidra 100units/ml solution for injection 3ml pre-filled OptiSet pens (Sanofi) (AMP)
10097211000001102,Insulin glulisine 100units/ml solution for injection 3ml pre-filled disposable devices (VMP)
10250211000001101,Lantus 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi) (AMP)
10344911000001108,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd) (AMP)
10352711000001104,Insulin lispro biphasic 50/50 100units/ml suspension for injection 3ml cartridges (VMP)
10534811000001104,NovoRapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
10542211000001105,Humalog Pen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) (AMP)
10542811000001106,Humalog 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
10542911000001101,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc) (AMP)
10543211000001104,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) (AMP)
10548211000001107,Lantus 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
10548611000001109,Lantus 100units/ml solution for injection 3ml pre-filled OptiSet pens (Waymade Healthcare Plc) (AMP)
10549011000001107,Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc) (AMP)
1055241000,Insulin isophane biphasic porcine (VTM)
10690511000001105,Exubera 1mg inhalation powder blisters (Pfizer Ltd) (AMP)
10690811000001108,Exubera 3mg inhalation powder blisters (Pfizer Ltd) (AMP)
10703011000001101,Insulin human 1mg inhalation powder blisters (VMP)
10703111000001100,Insulin human 3mg inhalation powder blisters (VMP)
10898411000001103,Apidra 100units/ml solution for injection 3ml OptiClik cartridges (Sanofi) (AMP)
11113611000001107,Pork Actrapid 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11114411000001107,Pork Insulatard 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11114611000001105,Levemir Penfill 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc) (AMP)
11115011000001104,Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Waymade Healthcare Plc) (AMP)
11116211000001103,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11116811000001102,Hypurin Porcine Neutral 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11117211000001101,Hypurin Porcine Neutral 100units/ml solution for injection 1.5ml cartridges (Waymade Healthcare Plc) (AMP)
11118411000001103,Hypurin Porcine Isophane 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11118911000001106,Hypurin Bovine Neutral 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11119311000001104,Hypurin Bovine Lente 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11119511000001105,Hypurin Bovine Isophane 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc) (AMP)
11119811000001108,Hypurin Bovine Isophane 100units/ml suspension for injection 1.5ml cartridges (Waymade Healthcare Plc) (AMP)
11121911000001109,Velosulin 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc) (AMP)
