code,term
1012131000000106,Brain natriuretic peptide level
1016291000000103,Plasma B natriuretic peptide level
1026401000000103,Serum pro-brain natriuretic peptide level
1028291000000108,Plasma pro-brain natriuretic peptide level
1031031000000109,N terminal pro-brain natriuretic peptide level
106091000000103,Plasma pro-brain natriuretic peptide level
106101000000106,Serum pro-brain natriuretic peptide level
1109321000000107,Mass concentration of N-terminal pro-B-type natriuretic peptide in plasma
1109331000000109,Mass concentration of N-terminal pro-B-type natriuretic peptide in serum
114561000000105,Plasma B natriuretic peptide level
119141000000100,Plasma B natriuretic peptide level
168741000000108,N terminal pro-brain natriuretic peptide level
173321000000104,N terminal pro-brain natriuretic peptide level
1911000237106,Mass concentration of N-terminal pro B-type natriuretic peptide in serum
194181000000108,B natriuretic peptide measurement
195331000000108,Pro-brain natriuretic peptide measurement
2531000237101,Mass concentration of B-type natriuretic peptide in serum
31191000237105,Mass concentration of brain natriuretic peptide in plasma
385677001,Human B-type natriuretic peptide
385678006,Nesiritide
385679003,Human B-type natriuretic peptide
389561001,Brain natriuretic peptide level
390293004,Brain natriuretic peptide level
390917008,Brain natriuretic peptide measurement
407058004,Natriuretic factor
407059007,Brain natriuretic peptide
407060002,Pro-brain natriuretic peptide
408258008,Plasma pro-brain natriuretic peptide level
408259000,Serum pro-brain natriuretic peptide level
412905009,Plasma B natriuretic peptide measurement
414798009,N-terminal pro-B-type natriuretic peptide
414799001,N-terminal pro-brain natriuretic peptide measurement
58401000237104,Mass concentration of N-terminal pro-B-type natriuretic peptide in plasma
909691000000102,Measurement of amino-terminal pro B-type natriuretic peptide concentration in serum specimen
909701000000102,Serum amino-terminal pro B-type natriuretic peptide concentration
909711000000100,Measurement of amino-terminal pro B-type natriuretic peptide concentration in plasma specimen
909721000000106,Plasma amino-terminal pro B-type natriuretic peptide concentration
909731000000108,Measurement of B-type natriuretic peptide concentration in serum specimen
909741000000104,Serum B-type natriuretic peptide concentration 
97131000000107,Plasma pro-brain natriuretic peptide level
97141000000103,Serum pro-brain natriuretic peptide level
998421000000106,Plasma N-terminal pro B-type natriuretic peptide concentration
998431000000108,Serum N-terminal pro B-type natriuretic peptide concentration
998441000000104,Serum B-type natriuretic peptide concentration
