code,term
102572006,Edema of lower extremity
102576009,Edema of foot
139241006,Oedema (& [symptom] or [swelling symptom])
139243009,Ankle swelling (& [symptom])
139248000,Pitting oedema
140001003,O/E - oedema (& [swelling])
140003000,O/E - oedema of ankles
140004006,O/E - oedema of feet
140005007,O/E - oedema of legs
140006008,O/E - oedema of thighs
158241008,[D]Oedema
158246003,[D]Peripheral oedema
161979002,Oedema (& [symptom] or [swelling symptom])
161981000,Ankle swelling (& [symptom])
161986005,Pitting oedema
162779008,O/E - oedema (& [swelling])
162781005,On examination - edema of ankles
162782003,On examination - edema of feet
162783008,On examination - edema of legs
162785001,On examination - edema of thighs
248477007,Swelling or edema
248478002,Swelling - edema - symptom
248480008,Leg swelling symptom
248499004,Dependent edema
26237000,Ankle edema
267038008,Edema
267039000,Swollen ankle
268918008,On examination - edema
271809000,Peripheral edema
281792000,Swollen calf
284521000,Pitting edema
297142003,Foot swelling
299414004,Swelling of ankle joint
445126005,Edema of entire limb
445281006,Soft pitting edema
445341001,Firm pitting edema
449614009,Swelling of lower limb
449707004,Edema of lower leg
496741000000108,[D]Peripheral oedema
5008001,Pitting edema
504691000000107,Oedema of calf
504711000000109,Oedema of calf 
517811000000107,Firm pitting oedema
517831000000104,Soft pitting oedema
517961000000103,Oedema of toes
58692005,Dependent edema
762896009,Swelling of left lower limb
762897000,Swelling of right lower limb
762898005,Swelling of bilateral lower limbs
762915008,Swelling of right foot
762916009,Swelling of left foot
762917000,Swelling of bilateral feet
763511000000102,Worsening peripheral oedema
79654002,Edema
816181009,Edema of bilateral lower limbs
816190002,Edema of bilateral lower legs
829986000,Edema of bilateral feet
