code,term
10154911000001102,Glimepiride 1mg tablets (Actavis UK Ltd) (AMP)
10155111000001101,Glimepiride 2mg tablets (Actavis UK Ltd) (AMP)
10155311000001104,Glimepiride 3mg tablets (Actavis UK Ltd) (AMP)
10155511000001105,Glimepiride 4mg tablets (Actavis UK Ltd) (AMP)
10272611000001100,Glimepiride 1mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
10272911000001106,Glimepiride 4mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
10273811000001109,Glimepiride 1mg tablets (A A H Pharmaceuticals Ltd) (AMP)
10274011000001101,Glimepiride 2mg tablets (A A H Pharmaceuticals Ltd) (AMP)
10274311000001103,Glimepiride 3mg tablets (A A H Pharmaceuticals Ltd) (AMP)
10274511000001109,Glimepiride 4mg tablets (A A H Pharmaceuticals Ltd) (AMP)
10292611000001107,Metformin 500mg tablets (Relonchem Ltd) (AMP)
10293511000001101,Metformin 850mg tablets (Relonchem Ltd) (AMP)
10377311000001104,Glibenclamide 2.5mg tablets (Arrow Generics Ltd) (AMP)
10377711000001100,Glibenclamide 5mg tablets (Arrow Generics Ltd) (AMP)
10378111000001100,Gliclazide 80mg tablets (Arrow Generics Ltd) (AMP)
10390211000001102,Metformin 500mg tablets (Arrow Generics Ltd) (AMP)
10390811000001101,Metformin 850mg tablets (Arrow Generics Ltd) (AMP)
10437311000001105,Glimepiride 4mg tablets (Niche Generics Ltd) (AMP)
10445111000001103,Glimepiride 1mg tablets (Niche Generics Ltd) (AMP)
10445311000001101,Glimepiride 2mg tablets (Niche Generics Ltd) (AMP)
10445511000001107,Glimepiride 3mg tablets (Niche Generics Ltd) (AMP)
10458811000001103,Actos 15mg tablets (Dowelhurst Ltd) (AMP)
10459011000001104,Actos 30mg tablets (Dowelhurst Ltd) (AMP)
10464711000001107,Avandia 4mg tablets (Dowelhurst Ltd) (AMP)
10465111000001105,Avandia 8mg tablets (Dowelhurst Ltd) (AMP)
10470611000001102,Avandamet 2mg/500mg tablets (Dowelhurst Ltd) (AMP)
10486511000001106,NovoNorm 500microgram tablets (Dowelhurst Ltd) (AMP)
