code,term
1066911000000100,Diabetes monitoring short message service text message first invitation
1066921000000106,Diabetes monitoring short message service text message second invitation
1066931000000108,Diabetes monitoring short message service text message third invitation
1083111000000108,Diabetes monitoring invitation email
116981000000102,Diabetes clinical management plan
121721000000103,Diabetes clinical management plan
153683009,Attending diabetes clinic
153931004,Diabetes administration: [monitoring] or [clinic]
153932006,Attends diabetes monitoring
153933001,Refuses diabetes monitoring
153934007,Diabetes monitoring default
153935008,Diabetes monitoring first letter
153936009,Diabetes monitoring second letter
153937000,Diabetes monitoring third letter
153938005,Diabetes monitoring verbal invite
153939002,Diabetes monitoring telephone invite
153940000,Diabetes monitoring deleted
153942008,Diabetes monitoring admin.NOS
185502001,Attending diabetes clinic
185753003,Attends diabetes monitoring
185754009,Diabetes monitoring declined
185755005,Diabetes monitoring default
185756006,Diabetes monitoring first letter
185757002,Diabetes monitoring second letter
185758007,Diabetes monitoring third letter
185759004,Diabetes monitoring verbal invite
185760009,Diabetes monitoring telephone invite
185761008,Diabetes monitoring deleted
198101000000107,Diabetes monitoring injection site check declined
198111000000109,Diabetes monitoring injection site not checked
198831000000108,Referral to multidisciplinary diabetic clinic
199481000000100,Diabetes monitoring lower risk albumin excretion
199491000000103,Diabetes monitoring higher risk albumin excretion
23111000000103,Diabetes clinic administration
270445003,Diabetes monitoring check done
273411009,Diabetes clinic satisfaction questionnaire
308505000,Diabetes monitoring call
308506004,Diabetes monitoring status
309417009,Diabetes dietitian
310425007,Diabetes monitoring invitation
312888008,Attending diabetes clinic
32911000000107,Diabetes monitoring admin.NOS
3341000000108,Diabetes monitoring administration
34170007,Adult diabetes diet
412777005,Diabetes clinical management plan
702706001,Diabetes clinic
705072004,Diabetes monitoring invitation by short message service text messaging
713671000000109,Diabetes monitoring administration
713681000000106,Diabetes monitoring administration NOS
713691000000108,Diabetes clinic administration
736284000,Diabetes clinical management plan
737432000,Hyperglycemia clinical management plan
737433005,Hypoglycemia clinical management plan
737436002,Hypoglycemia self management plan
737437006,Hyperglycemia self management plan
752141000000107,Diabetes monitoring invitation by short message service text messaging
752151000000105,Diabetes monitoring invitation by short message service 
754141000000100,Diabetic dietary review declined
79367009,Child diabetes diet
809391000000101,Referral to diabetes clinic
819301000000105,Diabetes monitoring injection site check declined
819331000000104,Diabetes monitoring injection site not checked
829521000000104,Provision of diabetes clinical summary
831021000000108,Provision of diabetes clinical summary
841221000000102,Referral to community diabetes clinic
851501000000106,Diabetes clinical pathway
851511000000108,Diabetes clinical pathway 
8731000000106,Diabetes administration: [monitoring] or [clinic]
8741000000102,Diabetes monitoring administration NOS
