code,term
10276611000001104,Bedol 2mg tablets (ReSource Medical UK Ltd) (AMP)
10276811000001100,Estradiol 2mg tablets (ReSource Medical UK Ltd) (AMP)
10277011000001109,Estradiol 2mg / Norethisterone 1mg tablets (ReSource Medical UK Ltd) (AMP)
10277411000001100,Clinorette tablets (ReSource Medical UK Ltd) (AMP)
10280511000001108,Generic Clinorette tablets (VMP)
10483311000001109,Climesse tablets (Dowelhurst Ltd) (AMP)
10485311000001105,Raloxifene 60mg tablets (Dowelhurst Ltd) (AMP)
10504011000001100,Conjugated oestrogens 25mg powder and solvent for solution for injection vials (VMP)
10506011000001105,Premarin 25mg powder and solvent for solution for injection vials (Imported (Switzerland)) (AMP)
10510311000001108,Climaval 1mg tablets (Waymade Healthcare Plc) (AMP)
10511811000001107,Evista 60mg tablets (Dowelhurst Ltd) (AMP)
10792511000001104,Estradiol valerate 1mg tablets (Dowelhurst Ltd) (AMP)
10792711000001109,Estradiol valerate 1mg / Norethisterone 1mg tablets (Dowelhurst Ltd) (AMP)
10792911000001106,Climagest 1mg tablets (Dowelhurst Ltd) (AMP)
10793111000001102,Estradiol valerate 2mg / Norethisterone 1mg tablets (Dowelhurst Ltd) (AMP)
10793311000001100,Climagest 2mg tablets (Dowelhurst Ltd) (AMP)
11030011000001105,Femoston-conti 1mg/5mg tablets (Waymade Healthcare Plc) (AMP)
11030211000001100,FemSeven 50 patches (Waymade Healthcare Plc) (AMP)
11032611000001102,Zumenon 1mg tablets (Waymade Healthcare Plc) (AMP)
11032811000001103,Zumenon 2mg tablets (Waymade Healthcare Plc) (AMP)
11033011000001100,Conjugated oestrogens 1.25mg tablets (Waymade Healthcare Plc) (AMP)
11033211000001105,Prempak-C 1.25mg/0.15mg tablets (Waymade Healthcare Plc) (AMP)
11386011000001101,Ovestin 1mg/g vaginal cream with applicator (Waymade Healthcare Plc) (AMP)
11476811000001109,Premarin 0.3mg tablets (Pfizer Ltd) (AMP)
11495711000001102,Climaval 2mg tablets (Waymade Healthcare Plc) (AMP)
11733811000001109,Ethinylestradiol 2microgram tablets (UCB Pharma Ltd) (AMP)
11738011000001105,Ethinylestradiol 2microgram tablets (VMP)
12282311000001108,Ethinylestradiol 4micrograms/5ml oral suspension (Special Order) (AMP)
12298511000001101,Ethinylestradiol 4micrograms/5ml oral suspension (VMP)
13185711000001109,Ovestin 1mg/g vaginal cream with applicator (Dowelhurst Ltd) (AMP)
13773611000001101,Progynova 2mg tablets (Waymade Healthcare Plc) (AMP)
13850211000001107,Climagest 1mg tablets (DE Pharmaceuticals) (AMP)
13850711000001100,Estradiol valerate 1mg tablets (DE Pharmaceuticals) (AMP)
13850911000001103,Estradiol valerate 1mg / Norethisterone 1mg tablets (DE Pharmaceuticals) (AMP)
13851511000001103,Climagest 2mg tablets (DE Pharmaceuticals) (AMP)
13851711000001108,Estradiol valerate 2mg tablets (DE Pharmaceuticals) (AMP)
13851911000001105,Estradiol valerate 2mg / Norethisterone 1mg tablets (DE Pharmaceuticals) (AMP)
13852111000001102,Climesse tablets (DE Pharmaceuticals) (AMP)
13871811000001103,Estracombi TTS patches (DE Pharmaceuticals) (AMP)
13872011000001101,Estraderm TTS 50 patches (DE Pharmaceuticals) (AMP)
13872311000001103,Estragest TTS patches (DE Pharmaceuticals) (AMP)
13872511000001109,Estraderm MX 25 patches (DE Pharmaceuticals) (AMP)
13872711000001104,Estraderm MX 50 patches (DE Pharmaceuticals) (AMP)
13872911000001102,Estraderm MX 100 patches (DE Pharmaceuticals) (AMP)
13873111000001106,Estraderm TTS 25 patches (DE Pharmaceuticals) (AMP)
13873311000001108,Estraderm TTS 100 patches (DE Pharmaceuticals) (AMP)
13873511000001102,Estradot 37.5micrograms/24hours patches (DE Pharmaceuticals) (AMP)
13873711000001107,Estradot 75micrograms/24hours patches (DE Pharmaceuticals) (AMP)
13923711000001103,Livial 2.5mg tablets (DE Pharmaceuticals) (AMP)
13941511000001106,Oestrogel Pump-Pack 0.06% gel (DE Pharmaceuticals) (AMP)
13943611000001109,Ovestin 1mg/g vaginal cream with applicator (DE Pharmaceuticals) (AMP)
13947011000001108,Premique 0.625mg/5mg tablets (DE Pharmaceuticals) (AMP)
13992111000001102,Tibolone 2.5mg tablets (DE Pharmaceuticals) (AMP)
14226411000001103,Estracombi TTS patches (Sigma Pharmaceuticals Plc) (AMP)
14226511000001104,Estraderm TTS 50 patches (Sigma Pharmaceuticals Plc) (AMP)
14226811000001101,Estragest TTS patches (Sigma Pharmaceuticals Plc) (AMP)
14227111000001106,Estraderm MX 100 patches (Sigma Pharmaceuticals Plc) (AMP)
14227311000001108,Estraderm MX 25 patches (Sigma Pharmaceuticals Plc) (AMP)
14227511000001102,Estraderm MX 50 patches (Sigma Pharmaceuticals Plc) (AMP)
14227711000001107,Estraderm TTS 100 patches (Sigma Pharmaceuticals Plc) (AMP)
14227911000001109,Estraderm TTS 25 patches (Sigma Pharmaceuticals Plc) (AMP)
14228111000001107,Estradot 100micrograms/24hours patches (Sigma Pharmaceuticals Plc) (AMP)
14228311000001109,Estradot 37.5micrograms/24hours patches (Sigma Pharmaceuticals Plc) (AMP)
14228511000001103,Estradot 50micrograms/24hours patches (Sigma Pharmaceuticals Plc) (AMP)
14228711000001108,Estradot 75micrograms/24hours patches (Sigma Pharmaceuticals Plc) (AMP)
14229711000001104,Evista 60mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14232911000001105,Femoston 2/10mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14233011000001102,Estradiol 2mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14253411000001107,Indivina 1mg/2.5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14253911000001104,Indivina 1mg/5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14254111000001100,Indivina 2mg/5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14312911000001108,Livial 2.5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14593311000001103,Progynova 1mg tablets (Waymade Healthcare Plc) (AMP)
14617011000001102,Raloxifene 60mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14666911000001100,Oestrogel Pump-Pack 0.06% gel (Sigma Pharmaceuticals Plc) (AMP)
14673611000001105,Ovestin 1mg/g vaginal cream with applicator (Sigma Pharmaceuticals Plc) (AMP)
14712411000001101,Climesse tablets (Sigma Pharmaceuticals Plc) (AMP)
14713111000001100,Climaval 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14725311000001106,Premarin 0.625mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14727411000001105,Premarin 1.25mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14727611000001108,Premique 0.625mg/5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14728811000001106,Progynova 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14729011000001105,Progynova 2mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14735811000001104,Kliovance tablets (Sigma Pharmaceuticals Plc) (AMP)
14745411000001102,Zumenon 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14745711000001108,Zumenon 2mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14750111000001102,Conjugated oestrogens 625microgram tablets (Sigma Pharmaceuticals Plc) (AMP)
14750611000001105,Prempak-C 0.625mg/0.15mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14778411000001108,Ethinylestradiol 2microgram tablets (Special Order) (AMP)
15050811000001104,Evorel Conti patches (Waymade Healthcare Plc) (AMP)
15051011000001101,Evorel Sequi patches (Waymade Healthcare Plc) (AMP)
15420011000001101,Sandrena 1mg gel sachets (Waymade Healthcare Plc) (AMP)
15466311000001107,Estradiol valerate 1mg tablets (Bayer Plc) (AMP)
15466611000001102,Estradiol valerate 2mg / Dienogest 2mg tablets (Bayer Plc) (AMP)
15469011000001103,Estradiol valerate 2mg / Dienogest 3mg tablets (Bayer Plc) (AMP)
15473611000001103,Estradiol valerate 2mg / Dienogest 2mg tablets (VMP)
15473711000001107,Estradiol valerate 2mg / Dienogest 3mg tablets (VMP)
15621411000001104,Conjugated oestrogens 300microgram / Medroxyprogesterone 1.5mg modified-release tablets (VMP)
16150911000001100,Climaval 1mg tablets (Lexon (UK) Ltd) (AMP)
16151211000001103,Climesse tablets (Lexon (UK) Ltd) (AMP)
16173011000001107,Estraderm MX 100 patches (Lexon (UK) Ltd) (AMP)
16175811000001102,FemSeven 50 patches (Lexon (UK) Ltd) (AMP)
16176011000001104,Estradiol 2mg tablets (Lexon (UK) Ltd) (AMP)
16176411000001108,Femoston 2/10mg tablets (Lexon (UK) Ltd) (AMP)
16178311000001102,Femoston-conti 1mg/5mg tablets (Lexon (UK) Ltd) (AMP)
16178811000001106,FemSeven Sequi Phase 2 patches (Lexon (UK) Ltd) (AMP)
16179011000001105,FemSeven Sequi 50micrograms/24hours Phase 1 patches (Lexon (UK) Ltd) (AMP)
16179211000001100,FemSeven Sequi patches (Lexon (UK) Ltd) (AMP)
16191911000001103,Indivina 1mg/2.5mg tablets (Lexon (UK) Ltd) (AMP)
16192111000001106,Indivina 1mg/5mg tablets (Lexon (UK) Ltd) (AMP)
16192311000001108,Indivina 2mg/5mg tablets (Lexon (UK) Ltd) (AMP)
16216411000001103,Oestrogel Pump-Pack 0.06% gel (Lexon (UK) Ltd) (AMP)
16226911000001103,Premique 0.625mg/5mg tablets (Lexon (UK) Ltd) (AMP)
16227311000001101,Progynova 1mg tablets (Lexon (UK) Ltd) (AMP)
16227511000001107,Progynova 2mg tablets (Lexon (UK) Ltd) (AMP)
16240411000001107,Sandrena 1mg gel sachets (Lexon (UK) Ltd) (AMP)
16453111000001106,Zumenon 1mg tablets (Lexon (UK) Ltd) (AMP)
16453311000001108,Zumenon 2mg tablets (Lexon (UK) Ltd) (AMP)
16505711000001108,Climaval 1mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16544511000001109,Estraderm MX 25 patches (Stephar (U.K.) Ltd) (AMP)
16544711000001104,Estraderm MX 100 patches (Stephar (U.K.) Ltd) (AMP)
16572411000001102,Estraderm MX 25 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16572611000001104,Estraderm MX 100 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16572811000001100,Estraderm TTS 25 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16573411000001106,Evista 60mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16573611000001109,Evorel Conti patches (Mawdsley-Brooks & Company Ltd) (AMP)
16573811000001108,Evorel 50 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16574111000001104,Evorel Sequi patches (Mawdsley-Brooks & Company Ltd) (AMP)
16577211000001103,Femoston-conti 1mg/5mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16577711000001105,Estradiol 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16578111000001105,Femoston 2/10mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16578311000001107,FemSeven 50 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16578511000001101,FemSeven 75 patches (Mawdsley-Brooks & Company Ltd) (AMP)
16585311000001108,Oestrogel Pump-Pack 0.06% gel (Stephar (U.K.) Ltd) (AMP)
17342011000001105,Oestrogel Pump-Pack 0.06% gel (Mawdsley-Brooks & Company Ltd) (AMP)
17344211000001109,Ovestin 1mg/g vaginal cream with applicator (Mawdsley-Brooks & Company Ltd) (AMP)
17422511000001109,Progynova 1mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17434511000001101,Progynova 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17438911000001101,Sandrena 1mg gel sachets (Mawdsley-Brooks & Company Ltd) (AMP)
17491011000001104,Angeliq 1mg/2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17499311000001102,Estradiol valerate 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17499511000001108,Estradiol valerate 2mg / Norethisterone 1mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17499711000001103,Climagest 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17505111000001108,FemSeven Sequi 50micrograms/24hours Phase 1 patches (Mawdsley-Brooks & Company Ltd) (AMP)
17505311000001105,FemSeven Sequi Phase 2 patches (Mawdsley-Brooks & Company Ltd) (AMP)
17505511000001104,FemSeven Sequi patches (Mawdsley-Brooks & Company Ltd) (AMP)
17513811000001102,Livial 2.5mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
17614011000001100,Oestrogel Pump-Pack 0.06% gel (Necessity Supplies Ltd) (AMP)
17623511000001100,Premarin 0.625mg tablets (Necessity Supplies Ltd) (AMP)
17623911000001107,Premique 0.625mg/5mg tablets (Necessity Supplies Ltd) (AMP)
17625311000001107,Progynova 1mg tablets (Necessity Supplies Ltd) (AMP)
17625511000001101,Progynova 2mg tablets (Necessity Supplies Ltd) (AMP)
17897211000001107,Estradiol valerate 1mg / Norethisterone 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17897411000001106,Estradiol valerate 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17897611000001109,Climagest 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17897811000001108,Estradiol valerate 2mg / Norethisterone 1mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17898011000001101,Estradiol valerate 2mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17898211000001106,Climagest 2mg tablets (Sigma Pharmaceuticals Plc) (AMP)
17956411000001109,FemSeven Sequi 50micrograms/24hours Phase 1 patches (Waymade Healthcare Plc) (AMP)
17956511000001108,FemSeven Sequi Phase 2 patches (Waymade Healthcare Plc) (AMP)
17956811000001106,FemSeven Sequi patches (Waymade Healthcare Plc) (AMP)
18056611000001106,Estradot 75micrograms/24hours patches (Lexon (UK) Ltd) (AMP)
18057011000001101,Evorel Conti patches (Lexon (UK) Ltd) (AMP)
18070611000001107,Evorel 50 patches (Lexon (UK) Ltd) (AMP)
18070811000001106,Evorel Sequi patches (Lexon (UK) Ltd) (AMP)
18155211000001105,Climesse tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18212911000001103,Estradot 75micrograms/24hours patches (Mawdsley-Brooks & Company Ltd) (AMP)
18215511000001104,Estradot 50micrograms/24hours patches (Mawdsley-Brooks & Company Ltd) (AMP)
18219411000001100,Zumenon 1mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18221411000001105,Climaval 1mg tablets (Necessity Supplies Ltd) (AMP)
18257711000001107,Estraderm TTS 100 patches (Necessity Supplies Ltd) (AMP)
18257911000001109,Estraderm TTS 25 patches (Necessity Supplies Ltd) (AMP)
18258111000001107,Estradot 75micrograms/24hours patches (Necessity Supplies Ltd) (AMP)
18258311000001109,Estradot 50micrograms/24hours patches (Necessity Supplies Ltd) (AMP)
18258511000001103,Estradot 37.5micrograms/24hours patches (Necessity Supplies Ltd) (AMP)
18258711000001108,Evista 60mg tablets (Necessity Supplies Ltd) (AMP)
18271511000001105,Kliofem tablets (Necessity Supplies Ltd) (AMP)
18294211000001104,Femoston-conti 1mg/5mg tablets (Stephar (U.K.) Ltd) (AMP)
18296411000001108,Premarin 0.625mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18483411000001100,Elleste Duet Conti tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18483611000001102,Elleste Solo 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18493711000001105,Livial 2.5mg tablets (Necessity Supplies Ltd) (AMP)
18522711000001103,Climaval 2mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
18570111000001102,Climaval 1mg tablets (DE Pharmaceuticals) (AMP)
18577911000001103,Evorel Conti patches (DE Pharmaceuticals) (AMP)
18578711000001104,Femoston-conti 1mg/5mg tablets (DE Pharmaceuticals) (AMP)
18607311000001103,Progynova 1mg tablets (DE Pharmaceuticals) (AMP)
18646411000001104,Evorel 50 patches (DE Pharmaceuticals) (AMP)
18646711000001105,Evorel Sequi patches (DE Pharmaceuticals) (AMP)
18648711000001109,Estradiol 2mg tablets (DE Pharmaceuticals) (AMP)
18649111000001101,Femoston 2/10mg tablets (DE Pharmaceuticals) (AMP)
