code,term
10292611000001107,Metformin 500mg tablets (Relonchem Ltd) (AMP)
10293511000001101,Metformin 850mg tablets (Relonchem Ltd) (AMP)
10390211000001102,Metformin 500mg tablets (Arrow Generics Ltd) (AMP)
10390811000001101,Metformin 850mg tablets (Arrow Generics Ltd) (AMP)
10470611000001102,Avandamet 2mg/500mg tablets (Dowelhurst Ltd) (AMP)
10486711000001101,Avandamet 1mg/500mg tablets (Waymade Healthcare Plc) (AMP)
10487411000001109,Avandamet 2mg/1000mg tablets (Waymade Healthcare Plc) (AMP)
10487711000001103,Avandamet 2mg/500mg tablets (Waymade Healthcare Plc) (AMP)
10488111000001103,Avandamet 4mg/1000mg tablets (Waymade Healthcare Plc) (AMP)
10741611000001100,Metsol 500mg/5ml oral solution (Kappin Ltd) (AMP)
10750111000001100,Metformin 500mg/5ml oral solution sugar free (VMP)
10832711000001103,Metformin 500mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd) (AMP)
10922311000001108,Competact 15mg/850mg tablets (Neon Healthcare Ltd) (AMP)
10963611000001104,Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd) (AMP)
115811000001106,Metformin 850mg tablets (Actavis UK Ltd) (AMP)
11599411000001100,Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd) (AMP)
1172786009,Vildagliptin + Metformin (VTM)
1208565007,Alogliptin + Metformin (VTM)
12792711000001102,Metformin 1g/5ml oral solution (Special Order) (AMP)
12793011000001108,Metformin 5mg/5ml oral solution (Special Order) (AMP)
12798011000001101,Metformin 1g/5ml oral solution (VMP)
12813711000001107,Metformin 5mg/5ml oral solution (VMP)
1303102000,Dapagliflozin + Metformin (VTM)
13100411000001106,Avandamet 2mg/1000mg tablets (Dowelhurst Ltd) (AMP)
13100611000001109,Avandamet 4mg/1000mg tablets (Dowelhurst Ltd) (AMP)
13412311000001101,Eucreas 50mg/1000mg tablets (Novartis Pharmaceuticals UK Ltd) (AMP)
13412611000001106,Eucreas 50mg/850mg tablets (Novartis Pharmaceuticals UK Ltd) (AMP)
13413011000001108,Vildagliptin 50mg / Metformin 1g tablets (VMP)
13413111000001109,Vildagliptin 50mg / Metformin 850mg tablets (VMP)
13748611000001107,Glucophage SR 750mg tablets (Merck Serono Ltd) (AMP)
13756411000001106,Metformin 500mg tablets (Tillomed Laboratories Ltd) (AMP)
13757811000001105,Metformin 850mg tablets (Tillomed Laboratories Ltd) (AMP)
13772611000001106,Glucophage SR 500mg tablets (Waymade Healthcare Plc) (AMP)
13833111000001109,Avandamet 2mg/500mg tablets (DE Pharmaceuticals) (AMP)
13833311000001106,Avandamet 2mg/1000mg tablets (DE Pharmaceuticals) (AMP)
13833511000001100,Avandamet 4mg/1000mg tablets (DE Pharmaceuticals) (AMP)
13883511000001106,Glucophage 500mg tablets (DE Pharmaceuticals) (AMP)
13883911000001104,Glucophage 850mg tablets (DE Pharmaceuticals) (AMP)
14183911000001108,Bolamyn SR 500mg tablets (Teva UK Ltd) (AMP)
14199911000001105,Avandamet 2mg/1000mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14200111000001102,Avandamet 4mg/1000mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14200411000001107,Avandamet 2mg/500mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14584711000001101,Metformin 500mg modified-release tablets (A A H Pharmaceuticals Ltd) (AMP)
14773811000001100,Metformin 500mg tablets (Boston Healthcare Ltd) (AMP)
14774311000001106,Metformin 850mg tablets (Boston Healthcare Ltd) (AMP)
15019811000001104,Metformin 500mg modified-release tablets (Kent Pharma (UK) Ltd) (AMP)
15359011000001101,Competact 15mg/850mg tablets (Waymade Healthcare Plc) (AMP)
15367811000001105,Glucophage SR 1000mg tablets (Merck Serono Ltd) (AMP)
15373711000001104,Glucophage 500mg oral powder sachets (Merck Serono Ltd) (AMP)
15374311000001101,Glucophage 1000mg oral powder sachets (Merck Serono Ltd) (AMP)
15411211000001106,Metformin 1g oral powder sachets sugar free (VMP)
15411311000001103,Metformin 500mg oral powder sachets sugar free (VMP)
157911000001103,Metformin 850mg tablets (Teva UK Ltd) (AMP)
15973311000001105,Metformin 500mg tablets (Zanza Specials International Ltd) (AMP)
15973711000001109,Metformin 850mg tablets (Zanza Specials International Ltd) (AMP)
15984111000001102,Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd) (AMP)
16061411000001104,Metformin 500mg tablets (Bristol Laboratories Ltd) (AMP)
16061711000001105,Metformin 850mg tablets (Bristol Laboratories Ltd) (AMP)
16152911000001101,Competact 15mg/850mg tablets (Lexon (UK) Ltd) (AMP)
16187411000001102,Glucophage SR 500mg tablets (Lexon (UK) Ltd) (AMP)
16187611000001104,Glucophage 850mg tablets (Lexon (UK) Ltd) (AMP)
16271111000001109,Avandamet 2mg/500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16271611000001101,Avandamet 2mg/1000mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16272111000001104,Avandamet 4mg/1000mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16503111000001106,Glucophage SR 500mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
16517411000001105,Competact 15mg/850mg tablets (Mawdsley-Brooks & Company Ltd) (AMP)
