code,term
10277011000001109,Estradiol 2mg / Norethisterone 1mg tablets (ReSource Medical UK Ltd) (AMP)
10483311000001109,Climesse tablets (Dowelhurst Ltd) (AMP)
10493611000001103,Marvelon tablets (Dowelhurst Ltd) (AMP)
10512211000001104,Evra transdermal patches (Dowelhurst Ltd) (AMP)
10522811000001108,Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (Waymade Healthcare Plc) (AMP)
10568711000001105,Norethisterone acetate (VTM)
10792711000001109,Estradiol valerate 1mg / Norethisterone 1mg tablets (Dowelhurst Ltd) (AMP)
10793111000001102,Estradiol valerate 2mg / Norethisterone 1mg tablets (Dowelhurst Ltd) (AMP)
10842811000001107,Levonelle 750microgram tablets (Waymade Healthcare Plc) (AMP)
10848911000001104,Cerazette 75microgram tablets (Waymade Healthcare Plc) (AMP)
10856411000001109,Mirena 20micrograms/24hours intrauterine device (Waymade Healthcare Plc) (AMP)
11753211000001109,Katya 30/75 tablets (Kent Pharma (UK) Ltd) (AMP)
11758611000001104,Sunya 20/75 tablets (Kent Pharma (UK) Ltd) (AMP)
1179492003,Drospirenone + Estetrol (VTM)
12199311000001104,Noristerat 200mg/1ml solution for injection ampoules (Waymade Healthcare Plc) (AMP)
13157311000001106,Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (Dowelhurst Ltd) (AMP)
13331511000001101,Gygel 2% contraceptive jelly (Marlborough Pharmaceuticals Ltd) (AMP)
13618611000001105,Levonelle 1500microgram tablets (Waymade Healthcare Plc) (AMP)
13850911000001103,Estradiol valerate 1mg / Norethisterone 1mg tablets (DE Pharmaceuticals) (AMP)
13851911000001105,Estradiol valerate 2mg / Norethisterone 1mg tablets (DE Pharmaceuticals) (AMP)
13852111000001102,Climesse tablets (DE Pharmaceuticals) (AMP)
13872311000001103,Estragest TTS patches (DE Pharmaceuticals) (AMP)
13930711000001105,Mercilon 150microgram/20microgram tablets (DE Pharmaceuticals) (AMP)
13964211000001102,Norethisterone enantate (VTM)
13980911000001104,Yasmin tablets (DE Pharmaceuticals) (AMP)
14220511000001101,Depo-Provera 150mg/1ml suspension for injection pre-filled syringes (Sigma Pharmaceuticals Plc) (AMP)
142211000001106,Norethisterone 5mg tablets (Alliance Healthcare (Distribution) Ltd) (AMP)
14221611000001107,Depo-Provera 150mg/1ml suspension for injection vials (Sigma Pharmaceuticals Plc) (AMP)
14226811000001101,Estragest TTS patches (Sigma Pharmaceuticals Plc) (AMP)
14296111000001102,Levonelle One Step 1.5mg tablets (Sigma Pharmaceuticals Plc) (AMP)
14610511000001106,Ethinylestradiol 30microgram / Levonorgestrel 50microgram tablets (VMP)
14610611000001105,Ethinylestradiol 40microgram / Levonorgestrel 75microgram tablets (VMP)
14610711000001101,Ethinylestradiol 30microgram / Levonorgestrel 125microgram tablets (VMP)
14712411000001101,Climesse tablets (Sigma Pharmaceuticals Plc) (AMP)
14735811000001104,Kliovance tablets (Sigma Pharmaceuticals Plc) (AMP)
14750311000001100,Norgestrel 150microgram tablets (Sigma Pharmaceuticals Plc) (AMP)
14763811000001108,Yasmin tablets (Sigma Pharmaceuticals Plc) (AMP)
15050811000001104,Evorel Conti patches (Waymade Healthcare Plc) (AMP)
15364511000001104,NuvaRing 0.12mg/0.015mg per day vaginal delivery system (Organon Pharma (UK) Ltd) (AMP)
15364711000001109,Ethinylestradiol 2.7mg / Etonogestrel 11.7mg vaginal delivery system (VMP)
15364811000001101,Ethinylestradiol + Etonogestrel (VTM)
15470011000001100,Qlaira tablets (Bayer Plc) (AMP)
15473911000001109,Generic Qlaira tablets (VMP)
15530611000001104,Norethisterone 5mg/5ml oral suspension (Special Order) (AMP)
15534311000001101,Norethisterone 5mg/5ml oral suspension (VMP)
16098411000001108,EllaOne 30mg tablets (Omega Pharma Ltd) (AMP)
16102211000001103,Ulipristal 30mg tablets (VMP)
16151211000001103,Climesse tablets (Lexon (UK) Ltd) (AMP)
16178811000001106,FemSeven Sequi Phase 2 patches (Lexon (UK) Ltd) (AMP)
